stage,transport,workload,mode,arrival,req_size,reply_size,conc,threads,offered_mrps,rep,mrps,gbps,p50,p95,p99,p999,p9999,avg,min,max,drops,overflow,fail,reorder
conc,dpumesh-native,1024B/8B,closed,const,1024,8,16,1,,3,0.116249,0.9523,118.00,175.00,179.00,,,136.31,56.10,13497.73,,,0,0
conc,tcp-envoy,1024B/8B,closed,const,1024,8,16,1,,3,0.228424,1.8713,69.00,70.00,73.00,136.00,251.00,68.79,56.62,2984.76,0,0,0,0
conc,tcp-direct,1024B/8B,closed,const,1024,8,16,1,,3,0.533037,4.3666,28.00,29.00,31.00,42.00,98.00,28.24,18.22,3621.95,0,0,0,0
conc,dpumesh-native,1024B/8B,closed,const,1024,8,32,1,,3,0.197279,1.6161,174.00,183.00,235.00,,,160.26,58.18,3068.65,,,0,0
conc,tcp-envoy,1024B/8B,closed,const,1024,8,32,1,,3,0.404045,3.3099,77.00,79.00,81.00,141.00,285.00,77.55,69.32,2721.59,0,0,0,0
conc,tcp-direct,1024B/8B,closed,const,1024,8,32,1,,3,0.934263,7.6535,31.00,34.00,36.00,52.00,112.00,32.18,22.80,10449.12,0,0,0,0
conc,dpumesh-native,1024B/8B,closed,const,1024,8,64,1,,3,0.279040,2.2859,240.00,251.00,303.00,,,226.91,119.69,4451.39,,,0,0
conc,tcp-envoy,1024B/8B,closed,const,1024,8,64,1,,3,0.564250,4.6223,111.00,113.00,118.00,195.00,430.00,111.33,76.77,11269.77,0,0,0,0
conc,tcp-direct,1024B/8B,closed,const,1024,8,64,1,,3,1.739616,14.2509,26.00,44.00,46.00,61.00,132.00,32.61,10.98,128509.12,0,0,0,0
conc,tcp-envoy,1024B/8B,closed,const,1024,8,1,1,,4,0.015890,0.1302,62.00,63.00,66.00,126.00,198.00,61.93,51.42,3295.74,0,0,0,0
conc,tcp-direct,1024B/8B,closed,const,1024,8,1,1,,4,0.039733,0.3255,24.00,24.00,29.00,37.00,97.00,23.81,15.47,831.26,0,0,0,0
conc,dpumesh-native,1024B/8B,closed,const,1024,8,1,1,,4,0.008509,0.0697,114.00,115.00,227.00,,,117.41,86.87,4698.81,,,0,0
conc,tcp-envoy,1024B/8B,closed,const,1024,8,2,1,,4,0.031605,0.2589,62.00,63.00,65.00,122.00,178.00,62.29,54.27,2308.55,0,0,0,0
conc,tcp-direct,1024B/8B,closed,const,1024,8,2,1,,4,0.093313,0.7644,19.00,23.00,26.00,34.00,96.00,20.06,13.82,18990.68,0,0,0,0
conc,dpumesh-native,1024B/8B,closed,const,1024,8,2,1,,4,0.016439,0.1347,115.00,167.00,285.00,,,121.38,84.59,4678.61,,,0,0
conc,tcp-envoy,1024B/8B,closed,const,1024,8,4,1,,4,0.062245,0.5099,63.00,65.00,67.00,134.00,196.00,63.23,52.91,3504.00,0,0,0,0
conc,tcp-direct,1024B/8B,closed,const,1024,8,4,1,,4,0.154931,1.2692,24.00,25.00,29.00,41.00,105.00,24.31,15.23,4242.67,0,0,0,0
conc,dpumesh-native,1024B/8B,closed,const,1024,8,4,1,,4,0.031410,0.2573,115.00,226.00,342.00,,,126.82,62.73,16059.76,,,0,0
conc,tcp-envoy,1024B/8B,closed,const,1024,8,8,1,,4,0.121480,0.9952,64.00,66.00,68.00,137.00,192.00,64.73,53.23,4490.95,0,0,0,0
conc,tcp-direct,1024B/8B,closed,const,1024,8,8,1,,4,0.292183,2.3936,26.00,26.00,29.00,38.00,110.00,25.77,16.71,652.57,0,0,0,0
conc,dpumesh-native,1024B/8B,closed,const,1024,8,8,1,,4,0.064029,0.5245,115.00,170.00,287.00,,,124.18,80.92,1832.17,,,0,0
conc,tcp-envoy,1024B/8B,closed,const,1024,8,16,1,,4,0.234322,1.9196,68.00,70.00,72.00,144.00,217.00,67.03,53.38,3821.83,0,0,0,0
