stage,transport,workload,mode,arrival,req_size,reply_size,conc,threads,offered_mrps,n_reps,mrps_med,mrps_lo,mrps_hi,gbps_med,gbps_lo,gbps_hi,p50_med,p50_lo,p50_hi,p95_med,p95_lo,p95_hi,p99_med,p99_lo,p99_hi,p999_med,p999_lo,p999_hi,p9999_med,p9999_lo,p9999_hi,avg_med,avg_lo,avg_hi,drops,overflow,fail,reorder
rtt,tcp-direct,1024B/8B,closed,const,1024,8,1,1,,5,0.0398,0.0383,0.0401,0.3258,0.3138,0.3286,23.0000,23.0000,24.0000,25.0000,24.0000,25.0000,29.0000,29.0000,30.0000,60.0000,57.0000,69.0000,106.0000,104.0000,108.0000,23.7800,23.5500,24.7000,0,0,0,0
rtt,tcp-direct,1048576B/8B,closed,const,1048576,8,1,1,,5,0.0039,0.0039,0.0040,32.9663,32.9205,33.5387,240.0000,239.0000,242.0000,274.0000,270.0000,283.0000,488.0000,472.0000,504.0000,547.0000,543.0000,553.0000,643.0000,577.0000,798.0000,252.7400,248.3900,253.0600,0,0,0,0
rtt,tcp-direct,256B/8B,closed,const,256,8,1,1,,5,0.0396,0.0388,0.0405,0.0811,0.0795,0.0830,24.0000,23.0000,24.0000,24.0000,24.0000,25.0000,29.0000,29.0000,30.0000,62.0000,56.0000,70.0000,105.0000,103.0000,109.0000,23.8500,23.3200,24.3600,0,0,0,0
rtt,tcp-direct,64B/8B,closed,const,64,8,1,1,,5,0.0394,0.0393,0.0398,0.0202,0.0201,0.0204,23.0000,23.0000,24.0000,24.0000,24.0000,25.0000,29.0000,29.0000,29.0000,68.0000,48.0000,69.0000,107.0000,103.0000,108.0000,23.9700,23.7100,24.0700,0,0,0,0
rtt,tcp-direct,65536B/8B,closed,const,65536,8,1,1,,5,0.0213,0.0205,0.0239,11.1539,10.7703,12.5527,45.0000,39.0000,47.0000,47.0000,42.0000,49.0000,59.0000,52.0000,61.0000,107.0000,68.0000,118.0000,150.0000,136.0000,156.0000,45.5300,40.2900,47.2400,0,0,0,0
rtt,tcp-direct,8192B/8B,closed,const,8192,8,1,1,,5,0.0377,0.0369,0.0384,2.4730,2.4176,2.5167,25.0000,22.0000,26.0000,26.0000,26.0000,29.0000,29.0000,29.0000,30.0000,74.0000,62.0000,74.0000,111.0000,106.0000,113.0000,24.9600,24.5000,25.6400,0,0,0,0
rtt,tcp-envoy,1024B/8B,closed,const,1024,8,1,1,,5,0.0161,0.0154,0.0172,0.1322,0.1264,0.1406,60.0000,56.0000,63.0000,63.0000,59.0000,64.0000,67.0000,62.0000,70.0000,137.0000,135.0000,142.0000,258.0000,213.0000,336.0000,60.9500,57.3000,63.8300,0,0,0,0
rtt,tcp-envoy,1048576B/8B,closed,const,1048576,8,1,1,,5,0.0014,0.0014,0.0014,11.5134,11.3751,11.5884,723.0000,718.0000,725.0000,771.0000,762.0000,773.0000,878.0000,808.0000,905.0000,1029.0000,980.0000,1107.0000,1642.0000,1124.0000,2805.0000,727.1400,722.3900,735.9900,0,0,0,0
rtt,tcp-envoy,256B/8B,closed,const,256,8,1,1,,5,0.0159,0.0157,0.0162,0.0326,0.0321,0.0332,62.0000,59.0000,62.0000,63.0000,63.0000,64.0000,68.0000,67.0000,69.0000,139.0000,131.0000,141.0000,298.0000,252.0000,390.0000,61.8100,60.7700,62.8700,0,0,0,0
rtt,tcp-envoy,64B/8B,closed,const,64,8,1,1,,5,0.0158,0.0156,0.0165,0.0081,0.0080,0.0084,62.0000,61.0000,62.0000,63.0000,63.0000,64.0000,68.0000,66.0000,72.0000,135.0000,125.0000,144.0000,265.0000,173.0000,320.0000,62.0900,59.7600,62.9300,0,0,0,0
rtt,tcp-envoy,65536B/8B,closed,const,65536,8,1,1,,5,0.0099,0.0096,0.0100,5.2047,5.0577,5.2442,98.0000,97.0000,101.0000,102.0000,102.0000,104.0000,126.0000,107.0000,128.0000,195.0000,173.0000,205.0000,396.0000,335.0000,415.0000,99.7500,98.9900,102.6200,0,0,0,0
rtt,tcp-envoy,8192B/8B,closed,const,8192,8,1,1,,5,0.0155,0.0155,0.0161,1.0178,1.0137,1.0571,62.0000,59.0000,64.0000,66.0000,65.0000,66.0000,69.0000,67.0000,70.0000,142.0000,133.0000,146.0000,247.0000,197.0000,307.0000,63.3900,61.0100,63.6600,0,0,0,0
