run_id,stage,sequence,config,frame_bytes,offered_rps,duration_s,achieved_rps,p50_us,p99_us,scheduled,admission_drops,pending,fail,overflow,reorder,achieved_ratio,schedule_ratio,admission_drop_ratio,client_busy_cores,server_busy_cores,host_busy_cores,host_core_budget,dpu_arm_cores,tx_grow_waits,clean,reason,raw_result
scout-64-grpc-dpumesh-validate7-v1,validate,7,grpc-dpumesh,64,30270,10,27665.000,77813.00,846973.00,302342,0,0,0,0,0,0.913941,0.998817,0.000000,0.937758,0.969784,1.907542,2,1.928968,0,0,achieved,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/scout-64-grpc-dpumesh-validate7-v1.result.attempt1.txt
scout-64-grpc-dpumesh-validate7-v2,validate,7,grpc-dpumesh,64,30270,10,29659.000,4402.00,443567.00,302688,0,0,0,0,0,0.979815,0.999960,0.000000,0.963147,0.897479,1.860626,2,2.243211,0,0,achieved,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/scout-64-grpc-dpumesh-validate7-v2.result.attempt1.txt
scout-64-grpc-dpumesh-backtrack6-v1,backtrack,6,grpc-dpumesh,64,22422,10,22422.000,245.00,13182.00,224220,0,0,0,0,0,1.000000,1.000000,0.000000,0.672329,0.665156,1.337485,2,1.960752,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/scout-64-grpc-dpumesh-backtrack6-v1.result.attempt1.txt
scout-64-grpc-dpumesh-backtrack6-v2,backtrack,6,grpc-dpumesh,64,22422,10,22422.000,245.00,11089.00,224219,0,0,0,0,0,1.000000,0.999996,0.000000,0.674002,0.665376,1.339378,2,1.943128,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/scout-64-grpc-dpumesh-backtrack6-v2.result.attempt1.txt
scout-64-grpc-dpumesh-refine1-v1,refine,1,grpc-dpumesh,64,26052,10,26052.000,240.00,17418.00,260519,0,0,0,0,0,1.000000,0.999996,0.000000,0.796160,0.777010,1.573170,2,2.224990,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/scout-64-grpc-dpumesh-refine1-v1.result.attempt1.txt
scout-64-grpc-dpumesh-refine1-v2,refine,1,grpc-dpumesh,64,26052,10,25065.000,244.00,103444.00,260520,0,0,0,0,0,0.962114,1.000000,0.000000,0.798400,0.770285,1.568685,2,2.228358,0,0,achieved,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/scout-64-grpc-dpumesh-refine1-v2.result.attempt1.txt
scout-64-grpc-dpumesh-refine1-v3,refine,1,grpc-dpumesh,64,26052,10,26051.000,239.00,16979.00,260520,0,0,0,0,0,0.999962,1.000000,0.000000,0.799539,0.777487,1.577026,2,2.218475,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/scout-64-grpc-dpumesh-refine1-v3.result.attempt1.txt
scout-64-grpc-dpumesh-refine2-v1,refine,2,grpc-dpumesh,64,28082,10,28082.000,257.00,31638.00,280820,0,0,0,0,0,1.000000,1.000000,0.000000,0.858387,0.839454,1.697841,2,2.347454,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/scout-64-grpc-dpumesh-refine2-v1.result.attempt1.txt
scout-64-grpc-dpumesh-refine2-v2,refine,2,grpc-dpumesh,64,28082,10,27454.000,48626.00,671525.00,280819,0,0,0,0,0,0.977637,0.999996,0.000000,0.881558,0.889156,1.770714,2,2.057964,0,0,achieved,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/scout-64-grpc-dpumesh-refine2-v2.result.attempt1.txt
scout-64-grpc-dpumesh-refine2-v3,refine,2,grpc-dpumesh,64,28082,10,28097.000,250.00,30560.00,280819,0,0,0,0,0,1.000534,0.999996,0.000000,0.859050,0.833936,1.692986,2,2.360644,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/scout-64-grpc-dpumesh-refine2-v3.result.attempt1.txt
scout-64-grpc-dpumesh-refine3-v1,refine,3,grpc-dpumesh,64,29155,10,29112.000,2232.00,495572.00,291549,0,0,0,0,0,0.998525,0.999997,0.000000,0.917676,0.886482,1.804158,2,2.103231,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/scout-64-grpc-dpumesh-refine3-v1.result.attempt1.txt
scout-64-grpc-dpumesh-refine3-v2,refine,3,grpc-dpumesh,64,29155,10,28938.000,441.00,332032.00,291484,0,0,0,0,0,0.992557,0.999774,0.000000,0.891084,0.877330,1.768414,2,2.385360,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/scout-64-grpc-dpumesh-refine3-v2.result.attempt1.txt
scout-64-grpc-dpumesh-refine4-v1,refine,4,grpc-dpumesh,64,29707,10,29723.000,2768.00,376781.00,297069,0,0,0,0,0,1.000539,0.999997,0.000000,0.934230,0.895474,1.829704,2,2.239507,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/scout-64-grpc-dpumesh-refine4-v1.result.attempt1.txt
scout-64-grpc-dpumesh-refine4-v2,refine,4,grpc-dpumesh,64,29707,10,29717.000,1267.00,60328.00,297069,0,0,0,0,0,1.000337,0.999997,0.000000,0.916627,0.886528,1.803155,2,2.421602,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/scout-64-grpc-dpumesh-refine4-v2.result.attempt1.txt
scout-64-grpc-envoy-permissive-pilot1-v1,pilot,1,grpc-envoy-permissive,64,5000,2,4998.000,179.00,454.00,10000,0,0,0,0,0,0.999600,1.000000,0.000000,0.334271,0.313645,0.647916,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/scout-64-grpc-envoy-permissive-pilot1-v1.result.attempt1.txt
scout-64-grpc-envoy-permissive-pilot2-v1,pilot,2,grpc-envoy-permissive,64,6750,2,6747.000,180.00,218.00,13500,0,0,0,0,0,0.999556,1.000000,0.000000,0.460653,0.402037,0.862690,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/scout-64-grpc-envoy-permissive-pilot2-v1.result.attempt1.txt
scout-64-grpc-envoy-permissive-pilot3-v1,pilot,3,grpc-envoy-permissive,64,9113,2,9110.000,199.00,681.00,18226,0,0,0,0,0,0.999671,1.000000,0.000000,0.608528,0.566417,1.174945,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/scout-64-grpc-envoy-permissive-pilot3-v1.result.attempt1.txt
scout-64-grpc-envoy-permissive-pilot4-v1,pilot,4,grpc-envoy-permissive,64,12303,2,12301.000,199.00,254.00,24606,0,0,0,0,0,0.999837,1.000000,0.000000,0.839963,0.724424,1.564387,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/scout-64-grpc-envoy-permissive-pilot4-v1.result.attempt1.txt
scout-64-grpc-envoy-permissive-pilot5-v1,pilot,5,grpc-envoy-permissive,64,16609,2,16606.000,656.00,984.00,33218,0,0,0,0,0,0.999819,1.000000,0.000000,0.981536,0.911531,1.893067,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/scout-64-grpc-envoy-permissive-pilot5-v1.result.attempt1.txt
