config,frame,kind,offered,achieved,client,server,client_cgroup,server_cgroup,p99,drop,clean
grpc-linkerd,64,bound,10991,10991.0,0.981758,0.747791,0.992075,0.755533,3594.0,0.0,1
grpc-linkerd,64,bound,13346,13347.0,0.981553,0.772482,0.992002,0.780769,5957.0,0.0,1
grpc-linkerd,64,bound,14916,14921.0,0.981815,0.827432,0.99217,0.835986,10193.0,0.0,1
grpc-linkerd,64,bound,15701,15709.0,0.982071,0.834821,0.992489,0.843847,26776.0,0.0,1
grpc-linkerd,64,bound,16486,9955.0,0.981428,0.511479,0.9904550000000001,0.518808,1458079.64,0.0,0
grpc-linkerd,64,bound,18056,7653.0,0.981722,0.355195,0.990597,0.358647,2697115.71,0.0,0
grpc-linkerd,64,bound,20411,7713.0,0.982087,0.461321,0.991153,0.467765,5874978.57,0.0,0
grpc-linkerd,64,common,3925,3925.0,0.60152,0.568548,0.607864,0.574562,1008.0,0.0,1
grpc-linkerd,64,common,11776,11776.0,0.981908,0.765188,0.9919960000000001,0.773493,4171.0,0.0,1
grpc-linkerd,64,common,14131,14138.0,0.981505,0.81162,0.9919739999999999,0.820397,7829.0,0.0,1
grpc-linkerd,1024,bound,663,662.0,0.154902,0.257583,0.155879,0.26003,1105.0,0.0,1
grpc-linkerd,1024,bound,1989,1989.0,0.35902,0.452877,0.362802,0.457588,865.0,0.0,1
grpc-linkerd,1024,bound,3979,3979.0,0.700338,0.581794,0.7075739999999999,0.587938,1027.0,0.0,1
grpc-linkerd,1024,bound,6631,6631.0,0.970903,0.767774,0.980431,0.775561,1982.0,0.0,1
grpc-linkerd,1024,bound,9283,9283.0,0.981969,0.751425,0.991987,0.759165,3854.0,0.0,1
grpc-linkerd,1024,bound,11273,11271.0,0.981501,0.772138,0.992051,0.78013,5876.0,0.0,1
grpc-linkerd,1024,bound,12599,12600.0,0.981285,0.824954,0.991745,0.8338289999999999,11137.0,0.0,1
grpc-linkerd,1024,bound,13262,13264.0,0.98174,0.849826,0.9922500000000001,0.858888,21993.0,0.0,1
grpc-linkerd,1024,bound,13925,8413.0,0.981659,0.658835,0.991355,0.666185,4950332.49,0.0,0
grpc-linkerd,1024,bound,15251,6756.0,0.982098,0.521289,0.9907140000000001,0.5260849999999999,6072669.44,0.0,0
grpc-linkerd,1024,bound,17241,4659.0,0.981409,0.35374,0.990213,0.35641500000000004,6301929.75,0.0,0
grpc-linkerd,1024,common,3316,3316.0,0.595885,0.524695,0.602025,0.53026,1063.0,0.0,1
grpc-linkerd,1024,common,9947,9947.0,0.98213,0.759208,0.992141,0.7672270000000001,4584.0,0.0,1
grpc-linkerd,1024,common,11936,11934.0,0.981261,0.806259,0.9917,0.814965,8137.0,0.0,1
grpc-linkerd,8192,bound,540,539.0,0.19066,0.219546,0.192086,0.22163,1120.0,0.0,1
grpc-linkerd,8192,bound,1619,1619.0,0.332143,0.44086,0.335548,0.445722,884.0,0.0,1
grpc-linkerd,8192,bound,3237,3236.0,0.638699,0.576235,0.645401,0.582507,1227.0,0.0,1
grpc-linkerd,8192,bound,5395,5395.0,0.962978,0.76668,0.973008,0.7747550000000001,1923.0,0.0,1
grpc-linkerd,8192,bound,7553,7552.0,0.980564,0.735323,0.9907809999999999,0.742839,3594.0,0.0,1
grpc-linkerd,8192,bound,9172,9172.0,0.981795,0.781913,0.992099,0.790177,5477.0,0.0,1
grpc-linkerd,8192,bound,10251,10251.0,0.981568,0.798289,0.9918739999999999,0.806738,8980.0,0.0,1
grpc-linkerd,8192,bound,10790,10790.0,0.982606,0.843678,0.9926170000000001,0.852056,11932.0,0.0,1
grpc-linkerd,8192,bound,11330,7402.0,0.981776,0.773352,0.992027,0.778884,5333914.02,0.0,0
grpc-linkerd,8192,bound,12408,4495.0,0.98204,0.605522,0.9918149999999999,0.611976,8155305.76,0.0,0
