arm,protocol,size,mode,kind,reps,rps,rps_min,rps_max,p50_us,p50_us_min,p50_us_max,p99_us,p99_us_min,p99_us_max,cpu_seconds,cpu_seconds_min,cpu_seconds_max,cpu_us_per_scheduled_rpc,cpu_us_per_scheduled_rpc_min,cpu_us_per_scheduled_rpc_max,dmesh_tx_budget_wait_total,dmesh_tx_budget_wait_total_min,dmesh_tx_budget_wait_total_max,dmesh_tx_writer_wakes_total,dmesh_tx_writer_wakes_total_min,dmesh_tx_writer_wakes_total_max,dmesh_tx_publications_total,dmesh_tx_publications_total_min,dmesh_tx_publications_total_max,dmesh_tx_reserve_attempts_total,dmesh_tx_reserve_attempts_total_min,dmesh_tx_reserve_attempts_total_max,dmesh_tx_arena_copy_bytes_total,dmesh_tx_arena_copy_bytes_total_min,dmesh_tx_arena_copy_bytes_total_max,dmesh_tx_retries_total,dmesh_tx_retries_total_min,dmesh_tx_retries_total_max,dmesh_tx_accepted_bytes_total,dmesh_tx_accepted_bytes_total_min,dmesh_tx_accepted_bytes_total_max,dmesh_worker_drain_calls_total,dmesh_worker_drain_calls_total_min,dmesh_worker_drain_calls_total_max,dmesh_worker_arms_total,dmesh_worker_arms_total_min,dmesh_worker_arms_total_max
direct,grpc,8192,matched,clean,3,9999.0,9999.0,9999.0,1709.0,1696.0,1713.0,2295.0,2242.0,2416.0,44.16,44.11,44.18,552.0,551.375,552.25,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1319783173.0,1319774913.0,1319799608.0,0.0,0.0,0.0,1319783173.0,1319774913.0,1319799608.0,2943545.0,2939141.0,2951441.0,571743.0,570480.0,572921.0
direct,grpc,65536,capacity,clean,6,12469.5,11049.0,12695.0,5040.5,4988.0,5120.0,7998.0,7627.0,8080.0,64.125,56.23,64.39,617.6118658396854,611.4216123349934,620.8700707295804,8.5,0.0,9.0,8.5,0.0,9.0,,,,,,,13581466171.5,12076257641.0,13826186519.0,0.0,0.0,0.0,13581466171.5,12076257641.0,13826186519.0,2764037.5,2465416.0,2773412.0,110758.0,105340.0,117065.0
direct,grpc,65536,capacity,stat,3,12496.0,12475.0,12496.0,5040.0,5016.0,5047.0,7992.0,7766.0,8170.0,95.43,95.37,95.56,621.4000886132034,620.6627426750349,621.4072050981922,9.0,9.0,9.0,9.0,9.0,9.0,,,,,,,20189355131.0,20153197552.0,20192153881.0,0.0,0.0,0.0,20189355131.0,20153197552.0,20192153881.0,4066344.0,4056449.0,4070797.0,157576.0,157165.0,161976.0
direct,grpc,65536,capacity,trace,1,8522.0,8522.0,8522.0,6678.0,6678.0,6678.0,18822.0,18822.0,18822.0,84.22,84.22,84.22,802.5920808119312,802.5920808119312,802.5920808119312,9.0,9.0,9.0,9.0,9.0,9.0,,,,,,,13778658571.0,13778658571.0,13778658571.0,0.0,0.0,0.0,13778658571.0,13778658571.0,13778658571.0,2713360.0,2713360.0,2713360.0,101186.0,101186.0,101186.0
direct,grpc,65536,matched,clean,3,1999.0,1999.0,1999.0,1449.0,1414.0,1474.0,2587.0,2480.0,2693.0,16.23,16.15,16.26,1014.375,1009.3749999999999,1016.2500000000001,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,2100719707.0,2100717033.0,2100723680.0,0.0,0.0,0.0,2100719707.0,2100717033.0,2100723680.0,1228488.0,1226444.0,1228878.0,188341.0,188295.0,190887.0
direct,opaque,64,capacity,clean,3,133844.0,132829.0,140311.0,446.0,432.0,448.0,1112.0,1073.0,1121.0,25.52,25.24,26.87,23.957360000570624,23.831577595673302,24.050876273697465,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,169773440.0,169455840.0,179452160.0,0.0,0.0,0.0,169773440.0,169455840.0,179452160.0,7314995.0,7308985.0,7731463.0,1577924.0,1573601.0,1664709.0
direct,opaque,64,capacity,trace,1,112878.0,112878.0,112878.0,528.0,528.0,528.0,1217.0,1217.0,1217.0,38.16,38.16,38.16,28.196759589373606,28.196759589373606,28.196759589373606,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,216535520.0,216535520.0,216535520.0,0.0,0.0,0.0,216535520.0,216535520.0,216535520.0,9320310.0,9320310.0,9320310.0,1990593.0,1990593.0,1990593.0
direct,opaque,64,matched,clean,3,20000.0,19999.0,20000.0,265.0,248.0,289.0,487.0,478.0,494.0,12.87,12.87,12.93,80.4375,80.4375,80.8125,26.0,24.0,36.0,13.0,12.0,18.0,,,,,,,25600000.0,25600000.0,25600000.0,0.0,0.0,0.0,25600000.0,25600000.0,25600000.0,3679580.0,3673914.0,3684179.0,795872.0,793206.0,799436.0
direct,opaque,1024,capacity,clean,3,122685.0,121485.0,122802.0,475.0,475.0,478.0,1176.0,1154.0,1179.0,24.3,24.25,24.5,24.983251024568222,24.809529314632915,25.04744067724981,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,2033089760.0,2017930720.0,2039766560.0,0.0,0.0,0.0,2033089760.0,2017930720.0,2039766560.0,6863956.0,6822655.0,6889045.0,1454184.0,1447535.0,1459276.0
direct,opaque,1024,capacity,trace,1,108673.0,108673.0,108673.0,551.0,551.0,551.0,1246.0,1246.0,1246.0,39.34,39.34,39.34,30.20004652066139,30.20004652066139,30.20004652066139,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,2709505760.0,2709505760.0,2709505760.0,0.0,0.0,0.0,2709505760.0,2709505760.0,2709505760.0,9078170.0,9078170.0,9078170.0,1912264.0,1912264.0,1912264.0
direct,opaque,1024,matched,clean,3,20000.0,19999.0,20000.0,268.0,265.0,306.0,499.0,483.0,503.0,13.03,12.94,13.07,81.4375,80.875,81.6875,40.0,28.0,48.0,20.0,14.0,24.0,,,,,,,332800000.0,332800000.0,332800000.0,0.0,0.0,0.0,332800000.0,332800000.0,332800000.0,3678382.0,3674188.0,3679649.0,795867.0,794286.0,796840.0
