arm,protocol,size,mode,rep,event,length,count
direct,grpc,1024,capacity,1,commit,1120,3
direct,grpc,1024,capacity,1,commit,1122,4501
direct,grpc,1024,capacity,1,commit,1132,1
direct,grpc,1024,capacity,1,commit,1133,3
direct,grpc,1024,capacity,1,commit,1135,1515
direct,grpc,1024,capacity,1,commit,1141,17813
direct,grpc,1024,capacity,1,commit,1146,1
direct,grpc,1024,capacity,1,commit,1148,22
direct,grpc,1024,capacity,1,commit,1159,1
direct,grpc,1024,capacity,1,commit,1188,16180
direct,grpc,1024,capacity,1,commit,1235,12459
direct,grpc,1024,capacity,1,commit,1282,8432
direct,grpc,1024,capacity,1,commit,1329,4322
direct,grpc,1024,capacity,1,commit,1376,2188
direct,grpc,1024,capacity,1,commit,1423,59
direct,grpc,64,capacity,1,commit,13,105
direct,grpc,64,capacity,1,commit,17,138
direct,grpc,64,capacity,1,commit,30,1
direct,grpc,64,capacity,1,commit,105,30800
direct,grpc,64,capacity,1,commit,128,12
direct,grpc,64,capacity,1,commit,129,12
direct,grpc,64,capacity,1,commit,131,30201
direct,grpc,64,capacity,1,commit,210,21303
direct,grpc,64,capacity,1,commit,233,11
direct,grpc,64,capacity,1,commit,234,5
direct,grpc,64,capacity,1,commit,262,18377
direct,grpc,64,capacity,1,commit,315,17917
direct,grpc,64,capacity,1,commit,338,5
direct,grpc,64,capacity,1,commit,339,6
direct,grpc,64,capacity,1,commit,393,17062
direct,grpc,64,capacity,1,commit,420,13001
direct,grpc,64,capacity,1,commit,443,5
direct,grpc,64,capacity,1,commit,524,13327
direct,grpc,64,capacity,1,commit,525,8869
direct,grpc,64,capacity,1,commit,548,2
direct,grpc,64,capacity,1,commit,549,1
direct,grpc,64,capacity,1,commit,630,4535
direct,grpc,64,capacity,1,commit,653,4
direct,grpc,64,capacity,1,commit,655,9075
direct,grpc,64,capacity,1,commit,735,1543
direct,grpc,64,capacity,1,commit,758,1
direct,grpc,64,capacity,1,commit,786,4681
direct,grpc,64,capacity,1,commit,840,35
direct,grpc,64,capacity,1,commit,917,2362
direct,grpc,64,capacity,1,commit,1048,63
direct,grpc,65536,capacity,1,commit,10,1
direct,grpc,65536,capacity,1,commit,13,356769
direct,grpc,65536,capacity,1,commit,17,140
direct,grpc,65536,capacity,1,commit,26,1871
direct,grpc,65536,capacity,1,commit,27,16773
direct,grpc,65536,capacity,1,commit,30,2
direct,grpc,65536,capacity,1,commit,33,14213
direct,grpc,65536,capacity,1,commit,36,64
direct,grpc,65536,capacity,1,commit,47,67249
direct,grpc,65536,capacity,1,commit,54,8743
direct,grpc,65536,capacity,1,commit,66,8450
direct,grpc,65536,capacity,1,commit,81,5657
direct,grpc,65536,capacity,1,commit,99,8638
direct,grpc,65536,capacity,1,commit,108,2776
direct,grpc,65536,capacity,1,commit,132,2329
direct,grpc,65536,capacity,1,commit,135,712
direct,grpc,65536,capacity,1,commit,162,83
direct,grpc,65536,capacity,1,commit,165,153
direct,grpc,65536,capacity,1,commit,189,82
direct,grpc,65536,capacity,1,commit,195,19
direct,grpc,65536,capacity,1,commit,198,10
direct,grpc,65536,capacity,1,commit,216,34
direct,grpc,65536,capacity,1,commit,217,28
direct,grpc,65536,capacity,1,commit,222,2
direct,grpc,65536,capacity,1,commit,231,5
direct,grpc,65536,capacity,1,commit,249,1
direct,grpc,65536,capacity,1,commit,250,2
