arm,protocol,size,mode,kind,rep,valid,elapsed,cpu_seconds,scheduled,rps,p50_us,p99_us,cpu_us_per_scheduled_rpc,dmesh_tx_publications_total,dmesh_tx_retries_total,dmesh_tx_budget_wait_total,dmesh_tx_errors_total,dmesh_worker_local_completions_total,dmesh_worker_drain_calls_total,dmesh_worker_drain_pending_total,dmesh_worker_cross_in_total,dmesh_worker_pe_progressed_total,dmesh_worker_cross_out_total,dmesh_worker_arms_total,dmesh_tx_arena_copy_bytes_total,dmesh_tx_accepted_bytes_total,dmesh_worker_maintenances_total,dmesh_tx_writer_wakes_total,dmesh_worker_data_progressed_total,dmesh_worker_drain_idle_total,dmesh_worker_notification_clears_total,dmesh_worker_drain_progressed_total,dmesh_tx_reserve_attempts_total
batch,grpc,8192,matched,clean,1,True,8.520823114085943,43.59,80000,10000.0,1670.0,2224.0,544.875,318593.0,0.0,0.0,0.0,314730.0,2969783.0,125113.0,0.0,314730.0,0.0,578537.0,1319791263.0,1319791263.0,65675.0,0.0,1991243.0,853427.0,578537.0,1991243.0,318593.0
batch,grpc,8192,matched,clean,2,True,8.518250999972224,43.79,79998,9999.0,1698.0,2286.0,547.3886847171179,317452.0,0.0,0.0,0.0,313600.0,2952445.0,125851.0,0.0,313600.0,0.0,575998.0,1319750149.0,1319750149.0,65317.0,0.0,1982685.0,843909.0,575998.0,1982685.0,317452.0
batch,grpc,8192,matched,clean,3,True,8.45489378995262,43.52,80000,9999.0,1694.0,2260.0,544.0,317727.0,0.0,0.0,0.0,313855.0,2947689.0,125110.0,0.0,313855.0,0.0,573757.0,1319766746.0,1319766746.0,65146.0,0.0,1982229.0,840350.0,573757.0,1982229.0,317727.0
batch,opaque,1024,capacity,clean,1,True,8.24811036104802,25.29,1040596,130273.0,451.0,1133.0,24.3033799860849,626377.0,0.0,0.0,0.0,626401.0,7333333.0,309968.0,0.0,626401.0,0.0,1568243.0,2164439680.0,2164439680.0,65826.0,0.0,4512278.0,2511087.0,1568243.0,4512278.0,626377.0
batch,opaque,1024,capacity,clean,2,True,8.276209150906652,24.47,1011717,126752.0,462.0,1144.0,24.186605542854377,609011.0,0.0,0.0,0.0,609035.0,7133185.0,301989.0,0.0,609035.0,0.0,1525596.0,2104371360.0,2104371360.0,65950.0,0.0,4388696.0,2442500.0,1525596.0,4388696.0,609011.0
batch,opaque,1024,capacity,clean,3,True,8.247164112050086,25.14,1030627,128964.0,455.0,1135.0,24.392918097430012,620332.0,0.0,0.0,0.0,620356.0,7258070.0,306162.0,0.0,620356.0,0.0,1552552.0,2143704160.0,2143704160.0,65827.0,0.0,4464809.0,2487099.0,1552552.0,4464809.0,620332.0
batch,opaque,1024,capacity,trace,1,True,12.273196798050776,38.45,1305223,108881.0,549.0,1252.0,29.45856761641497,786662.0,0.0,0.0,0.0,786686.0,9108965.0,371034.0,0.0,786686.0,0.0,1954139.0,2714863840.0,2714863840.0,97909.0,0.0,5580097.0,3157834.0,1954139.0,5580097.0,786662.0
batch,opaque,1024,matched,clean,1,True,8.235314534045756,12.35,160000,19999.0,248.0,485.0,77.1875,319065.0,0.0,0.0,0.0,319187.0,3684095.0,151801.0,0.0,319187.0,0.0,802886.0,332800000.0,332800000.0,60237.0,0.0,2233955.0,1298339.0,802886.0,2233955.0,319065.0
batch,opaque,1024,matched,clean,2,True,8.183445540023968,12.33,160000,19999.0,231.0,474.0,77.0625,319230.0,0.0,0.0,0.0,319330.0,3692204.0,150644.0,0.0,319330.0,0.0,807523.0,332800000.0,332800000.0,61765.0,0.0,2235069.0,1306491.0,807523.0,2235069.0,319230.0
batch,opaque,1024,matched,clean,3,True,8.250314155011438,12.39,160000,19999.0,244.0,479.0,77.4375,318982.0,0.0,0.0,0.0,319066.0,3683701.0,151044.0,0.0,319066.0,0.0,803596.0,332800000.0,332800000.0,59315.0,0.0,2233261.0,1299396.0,803596.0,2233261.0,318982.0
