arm,protocol,size,mode,rep,symbol,self_percent
after,grpc,1024,capacity,1,"core::ptr::drop_in_place<futures_util::future::try_future::into_future::IntoFuture<linkerd_app_outbound::http::logical::policy::route::filters::ResponseFuture<linkerd_app_outbound::http::logical::policy::route::Matched<linkerd_http_route::http::match::RequestMatch,linkerd_app_outbound::http::logical::policy::route::Route<linkerd_app_outbound::http::Http<linkerd_app_outbound::sidecar::HttpSidecar>,linkerd_proxy_client_policy::http::Filter,linkerd_proxy_client_policy::http::RouteParams>>,futures_util::future::either::Either<futures_util::future::try_future::MapErr<core::pin::Pin<alloc::boxed::Box<dyn core::future::future::Future+Output = core::result::Result<http::response::Response<linkerd_http_box::body::BoxBody>,alloc::boxed::Box<dyn core::error::Error+core::marker::Sync+core::marker::Send>>+core::marker::Send>>,fn(alloc::boxed::Box<dyn core::error::Error+core::marker::Sync+core::marker::Send>) .> alloc::boxed::Box<dyn core::error::Error+core::marker::Sync+core::marker::Send>>,futures_util::future::ready::Ready<core::result::Result<http::response::Response<linkerd_http_box::body::BoxBody>,alloc::boxed::Box<dyn core::error::Error+core::marker::Sync+core::marker::Send>>>>>>>",0.12
after,grpc,1024,capacity,1,<dmesh_l7::DirectWriter as dmesh_doca::io::TxWriter>::try_write_vectored,0.12
after,grpc,1024,capacity,1,<F as linkerd_stack_tracing::GetSpan<T>>::get_span,0.12
after,grpc,1024,capacity,1,<bytes::bytes::Bytes as bytes::buf::buf_impl::Buf>::remaining,0.11
after,grpc,1024,capacity,1,0x00000000000004bc,0.11
after,grpc,1024,capacity,1,"<linkerd_http_metrics::requests::service::HttpMetrics<S,C> as tower_service::Service<http::request::Request<A>>>::call",0.11
after,grpc,1024,capacity,1,"<linkerd_app_outbound::http::logical::policy::route::filters::ApplyFilters<A,S> as tower_service::Service<http::request::Request<B>>>::call",0.11
after,grpc,1024,capacity,1,h2::proto::streams::prioritize::Prioritize::recv_stream_window_update,0.11
after,grpc,1024,capacity,1,core::ptr::drop_in_place<h2::share::RecvStream>,0.11
after,grpc,1024,capacity,1,<linkerd_http_route::http::match::MatchRequest as linkerd_http_route::Match>::match_request,0.11
after,grpc,1024,capacity,1,tokio::runtime::time::<impl tokio::runtime::time::handle::Handle>::reregister,0.11
after,grpc,1024,capacity,1,__aarch64_swp8_relax,0.11
after,grpc,1024,capacity,1,bytes::bytes_mut::BytesMut::split_to,0.11
after,grpc,1024,capacity,1,core::ptr::drop_in_place<http::header::map::HeaderMap>,0.11
after,grpc,1024,capacity,1,<bytes::bytes_mut::BytesMut as bytes::buf::buf_mut::BufMut>::put,0.11
after,grpc,1024,capacity,1,"core::ptr::drop_in_place<linkerd_stack::map_err::WrapFromTarget<linkerd_app_outbound::http::logical::RouterParams<linkerd_app_outbound::http::Http<linkerd_app_outbound::sidecar::HttpSidecar>>,linkerd_app_outbound::http::logical::LogicalError>>",0.11
after,grpc,1024,capacity,1,"<linkerd_stack_tracing::Instrument<T,G,S> as core::ops::drop::Drop>::drop",0.11
after,grpc,1024,capacity,1,http::uri::authority::Authority::from_shared,0.11
after,grpc,1024,capacity,1,doca_dma_task_memcpy_alloc_init,0.11
after,grpc,1024,capacity,1,"hyper::proto::h2::client::ClientTask<B,E,T>::poll_pipe",0.11
after,grpc,1024,capacity,1,core::ptr::drop_in_place<h2::hpack::header::Header>,0.11
after,grpc,1024,capacity,1,<linkerd_app_core::classify::Request as linkerd_http_classify::Classify>::classify,0.11
after,grpc,1024,capacity,1,vfs_write,0.11
