channels,reactors,frame,rep,offered,achieved,ratio,p50_us,p99_us,p999_us,fail,drops,client_core,server_core,dpu_core_total,dpu_core_workers,w0,w1,w2,w3,w4,w5,w6,w7,window_s
4,8,64,1,72000,62280.0,0.8650,687422.00,1350120.83,1350120.83,0,0,3.2568,3.4003,36.915782,2.676989,0.010605,0.652961,0.665081,0.659021,0.649931,0.013635,0.013635,0.012120,6.6007
4,8,64,2,72000,63429.0,0.8810,627806.00,1190209.03,1190209.03,0,0,3.3106,3.5061,34.277226,2.683793,0.628500,0.017801,0.015062,0.015062,0.012324,0.669579,0.659994,0.665471,7.3031
4,8,64,3,72000,62308.0,0.8654,657876.00,1346657.32,1346657.32,0,0,3.2494,3.2198,38.877154,2.682992,0.012336,0.655328,0.666122,0.659954,0.650702,0.012336,0.013878,0.012336,6.4853
4,8,64,1,80000,63037.0,0.7880,2122571.88,2122571.88,2122571.88,0,0,3.2959,3.4479,39.236881,2.688674,0.632359,0.013780,0.015311,0.013780,0.015311,0.672169,0.662982,0.662982,6.5311
4,8,64,2,80000,63521.0,0.7940,1015839.00,2059974.04,2059974.04,0,0,3.3093,3.5416,40.188098,2.695035,0.013876,0.659883,0.667592,0.658341,0.656799,0.012334,0.013876,0.012334,6.4860
4,8,64,3,80000,62202.0,0.7775,2230578.55,2230578.55,2230578.55,0,0,3.2626,3.4685,40.669282,2.644819,0.618509,0.013847,0.012309,0.012309,0.015386,0.661589,0.655435,0.655435,6.4995
8,8,64,1,64000,62857.0,0.9821,50891.00,188984.00,190976.00,0,0,3.1930,3.1714,41.715296,3.306264,0.400713,0.418997,0.423567,0.408331,0.420520,0.414426,0.409855,0.409855,6.5633
8,8,64,2,64000,62377.0,0.9746,141180.00,255080.00,259459.00,0,0,3.2036,3.1103,42.469589,3.323388,0.405478,0.420779,0.425369,0.411598,0.422309,0.420779,0.407008,0.410068,6.5355
8,8,64,3,64000,63510.0,0.9923,66292.00,96420.00,102595.00,0,0,3.2460,3.2687,41.848767,3.291941,0.405002,0.418354,0.415387,0.415387,0.415387,0.405002,0.412420,0.405002,6.7407
8,8,64,1,72000,62263.0,0.8648,669740.00,1357653.22,1357653.22,0,0,3.2120,3.1062,43.817671,3.295809,0.397770,0.422343,0.423878,0.403913,0.422343,0.416200,0.406985,0.402377,6.5113
8,8,64,2,72000,63813.0,0.8863,593316.00,1138760.82,1138760.82,0,0,3.2514,3.2438,39.713328,3.317362,0.408562,0.419421,0.420778,0.416706,0.415349,0.412634,0.413992,0.409920,7.3673
8,8,64,3,72000,62656.0,0.8702,643993.00,1300431.46,1300431.46,0,0,3.2078,3.1793,45.087495,3.320069,0.404062,0.422498,0.419426,0.416353,0.417889,0.414817,0.413280,0.411744,6.5089
8,8,64,1,80000,62942.0,0.7868,2133402.21,2133402.21,2133402.21,0,0,3.2124,3.1512,45.795729,3.308682,0.407435,0.405898,0.424348,0.419735,0.412048,0.415123,0.419735,0.404360,6.5041
8,8,64,2,80000,62884.0,0.7861,2139903.10,2139903.10,2139903.10,0,0,3.2349,3.1588,46.498750,3.316409,0.408032,0.423371,0.420303,0.401896,0.424905,0.412634,0.412634,0.412634,6.5191
8,8,64,3,80000,62665.0,0.7833,2167904.79,2167904.79,2167904.79,0,0,3.2151,3.0335,46.758097,3.330750,0.407041,0.420710,0.425267,0.422229,0.410079,0.423748,0.422229,0.399447,6.5841
2,8,64,1,72000,70858.0,0.9841,4497.00,104801.00,166352.00,0,0,3.0906,3.7754,45.806670,1.137592,0.010819,0.534792,0.528610,0.012365,0.012365,0.012365,0.013911,0.012365,6.4698
2,8,64,2,72000,72016.0,1.0002,2330.00,14933.00,20729.00,0,0,3.1718,3.8982,46.204503,1.229179,0.010796,0.012338,0.013880,0.579889,0.573720,0.013880,0.012338,0.012338,6.4840
2,8,64,3,72000,72003.0,1.0000,2759.00,18269.00,21441.00,0,0,3.1652,3.8926,46.738793,1.224110,0.012365,0.010819,0.013910,0.013910,0.013910,0.573416,0.571870,0.013910,6.4700
2,8,64,1,80000,57278.0,0.7160,3290019.02,3290019.02,3290019.02,0,0,2.8958,3.5782,46.217879,0.556489,0.231228,0.012332,0.013874,0.012332,0.013874,0.013874,0.015415,0.243560,6.4871
2,8,64,2,80000,76805.0,0.9601,172112.00,422239.00,432277.00,0,0,3.1583,3.8920,42.176505,1.110377,0.012368,0.512588,0.513962,0.013742,0.017865,0.013742,0.013742,0.012368,7.2768
2,8,64,3,80000,77439.0,0.9680,136031.00,322593.00,328800.00,0,0,3.1788,3.9456,47.543283,1.089989,0.013875,0.012334,0.015417,0.505681,0.504139,0.013875,0.012334,0.012334,6.4863
