run_id,stage,sequence,config,payload_bytes,offered_rps,duration_s,achieved_rps,p50_us,p99_us,scheduled,generator_drops,pending,fail,overflow,reorder,achieved_ratio,schedule_ratio,generator_drop_ratio,clean,reason,raw_result
scout-1024-plain-refine4-v1,refine,4,plain,1024,476937,10,476859.000,122.00,432.00,4769326,2798,14,0,0,0,0.999836,0.999991,0.000587,1,clean,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-113431/raw/scout-1024-plain-refine4-v1.result.attempt1.txt
scout-1024-plain-refine4-v2,refine,4,plain,1024,476937,10,476927.000,119.00,381.00,4769359,419,21,0,0,0,0.999979,0.999998,0.000088,1,clean,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-113431/raw/scout-1024-plain-refine4-v2.result.attempt1.txt
scout-1024-envoy-permissive-pilot1-v1,pilot,1,envoy-permissive,1024,5000,2,4998.000,181.00,415.00,10000,0,0,0,0,0,0.999600,1.000000,0.000000,1,clean,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-113431/raw/scout-1024-envoy-permissive-pilot1-v1.result.attempt1.txt
scout-1024-envoy-permissive-pilot2-v1,pilot,2,envoy-permissive,1024,6750,2,6749.000,310.00,438.00,13500,0,0,0,0,0,0.999852,1.000000,0.000000,1,clean,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-113431/raw/scout-1024-envoy-permissive-pilot2-v1.result.attempt1.txt
scout-1024-envoy-permissive-pilot3-v1,pilot,3,envoy-permissive,1024,9113,2,9111.000,184.00,437.00,18228,0,0,0,0,0,0.999781,1.000110,0.000000,1,clean,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-113431/raw/scout-1024-envoy-permissive-pilot3-v1.result.attempt1.txt
scout-1024-envoy-permissive-pilot4-v1,pilot,4,envoy-permissive,1024,12303,2,12299.000,185.00,518.00,24608,0,7,0,0,0,0.999675,1.000081,0.000000,1,clean,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-113431/raw/scout-1024-envoy-permissive-pilot4-v1.result.attempt1.txt
scout-1024-envoy-permissive-pilot5-v1,pilot,5,envoy-permissive,1024,16609,2,16607.000,184.00,450.00,33220,0,4,0,0,0,0.999880,1.000060,0.000000,1,clean,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-113431/raw/scout-1024-envoy-permissive-pilot5-v1.result.attempt1.txt
scout-1024-envoy-permissive-pilot6-v1,pilot,6,envoy-permissive,1024,22422,2,22421.000,158.00,509.00,44844,0,0,0,0,0,0.999955,1.000000,0.000000,1,clean,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-113431/raw/scout-1024-envoy-permissive-pilot6-v1.result.attempt1.txt
scout-1024-envoy-permissive-pilot7-v1,pilot,7,envoy-permissive,1024,30270,2,30267.000,173.00,296.00,60540,0,4,0,0,0,0.999901,1.000000,0.000000,1,clean,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-113431/raw/scout-1024-envoy-permissive-pilot7-v1.result.attempt1.txt
scout-1024-envoy-permissive-pilot8-v1,pilot,8,envoy-permissive,1024,40865,2,40862.000,253.00,322.00,81728,0,7,0,0,0,0.999927,0.999976,0.000000,1,clean,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-113431/raw/scout-1024-envoy-permissive-pilot8-v1.result.attempt1.txt
