config,body,rate,role,core,site,samples,cores,share
grpc-dpumesh,48,24000,server,19,grpc-code,2954,0.35778,0.56917
grpc-dpumesh,48,24000,server,19,kernel-sched,812,0.09835,0.15645
grpc-dpumesh,48,24000,server,19,libc,498,0.06032,0.09595
grpc-dpumesh,48,24000,server,19,kernel-syscall,345,0.04179,0.06647
grpc-dpumesh,48,24000,server,19,transport-code,189,0.02289,0.03642
grpc-dpumesh,48,24000,server,19,kernel-poll,188,0.02277,0.03622
grpc-dpumesh,48,24000,server,19,vdso,82,0.00993,0.0158
grpc-dpumesh,48,24000,server,19,kernel-other,61,0.00739,0.01175
grpc-dpumesh,48,24000,server,19,driver-code,59,0.00715,0.01137
grpc-dpumesh,48,24000,server,19,app-code,2,0.00024,0.00039
grpc-dpumesh,1008,20000,client,18,grpc-code,2439,0.30022,0.52976
grpc-dpumesh,1008,20000,client,18,kernel-sched,811,0.09983,0.17615
grpc-dpumesh,1008,20000,client,18,libc,500,0.06155,0.1086
grpc-dpumesh,1008,20000,client,18,kernel-syscall,299,0.0368,0.06494
grpc-dpumesh,1008,20000,client,18,transport-code,180,0.02216,0.0391
grpc-dpumesh,1008,20000,client,18,kernel-poll,130,0.016,0.02824
grpc-dpumesh,1008,20000,client,18,kernel-other,101,0.01243,0.02194
grpc-dpumesh,1008,20000,client,18,driver-code,60,0.00739,0.01303
grpc-dpumesh,1008,20000,client,18,vdso,57,0.00702,0.01238
grpc-dpumesh,1008,20000,client,18,app-code,27,0.00332,0.00586
grpc-dpumesh,1008,20000,server,19,grpc-code,2465,0.30041,0.55506
grpc-dpumesh,1008,20000,server,19,kernel-sched,758,0.09238,0.17068
grpc-dpumesh,1008,20000,server,19,libc,424,0.05167,0.09547
grpc-dpumesh,1008,20000,server,19,kernel-syscall,289,0.03522,0.06508
grpc-dpumesh,1008,20000,server,19,kernel-poll,175,0.02133,0.03941
grpc-dpumesh,1008,20000,server,19,transport-code,148,0.01804,0.03333
grpc-dpumesh,1008,20000,server,19,vdso,71,0.00865,0.01599
grpc-dpumesh,1008,20000,server,19,kernel-other,58,0.00707,0.01306
grpc-dpumesh,1008,20000,server,19,driver-code,46,0.00561,0.01036
grpc-dpumesh,1008,20000,server,19,app-code,6,0.00073,0.00135
grpc-dpumesh,1008,20000,server,19,unresolved,1,0.00012,0.00023
grpc-envoy-permissive,48,8000,client,20,grpc-code,982,0.15852,0.29921
