config,body,rate,role,core,layer,samples,cores,share
grpc-tcp,48,8000,client,22,kernel-only,25,0.0036,0.01019
grpc-tcp,48,8000,client,22,noise,2,0.00029,0.00081
grpc-tcp,48,8000,client,22,idle,0,0.64632,0.0
grpc-tcp,48,8000,server,23,grpc,2347,0.33277,0.99407
grpc-tcp,48,8000,server,23,kernel-only,12,0.0017,0.00508
grpc-tcp,48,8000,server,23,app,2,0.00028,0.00085
grpc-tcp,48,8000,server,23,idle,0,0.66525,0.0
grpc-tcp,48,16000,client,22,grpc,4622,0.65051,0.96012
grpc-tcp,48,16000,client,22,app,158,0.02224,0.03282
grpc-tcp,48,16000,client,22,kernel-only,32,0.0045,0.00665
grpc-tcp,48,16000,client,22,noise,1,0.00014,0.00021
grpc-tcp,48,16000,client,22,softirq,1,0.00014,0.00021
grpc-tcp,48,16000,client,22,idle,0,0.32247,0.0
grpc-tcp,48,16000,server,23,grpc,4640,0.65715,0.98934
grpc-tcp,48,16000,server,23,kernel-only,44,0.00623,0.00938
grpc-tcp,48,16000,server,23,app,5,0.00071,0.00107
grpc-tcp,48,16000,server,23,noise,1,0.00014,0.00021
grpc-tcp,48,16000,server,23,idle,0,0.33577,0.0
grpc-tcp,48,24000,client,22,grpc,5993,0.84482,0.97845
grpc-tcp,48,24000,client,22,app,93,0.01311,0.01518
grpc-tcp,48,24000,client,22,kernel-only,39,0.0055,0.00637
grpc-tcp,48,24000,client,22,idle,0,0.13657,0.0
grpc-tcp,48,24000,server,23,grpc,5885,0.82808,0.99325
grpc-tcp,48,24000,server,23,kernel-only,32,0.0045,0.0054
grpc-tcp,48,24000,server,23,app,6,0.00084,0.00101
grpc-tcp,48,24000,server,23,noise,1,0.00014,0.00017
grpc-tcp,48,24000,server,23,softirq,1,0.00014,0.00017
grpc-tcp,48,24000,server,23,idle,0,0.16629,0.0
grpc-tcp,1008,20000,client,22,grpc,5506,0.77525,0.97555
grpc-tcp,1008,20000,client,22,app,101,0.01422,0.0179
grpc-tcp,1008,20000,client,22,kernel-only,37,0.00521,0.00656
grpc-tcp,1008,20000,client,22,idle,0,0.20532,0.0
grpc-tcp,1008,20000,server,23,grpc,5305,0.74622,0.99363
grpc-tcp,1008,20000,server,23,kernel-only,27,0.0038,0.00506
grpc-tcp,1008,20000,server,23,app,4,0.00056,0.00075
grpc-tcp,1008,20000,server,23,noise,3,0.00042,0.00056
grpc-tcp,1008,20000,server,23,idle,0,0.249,0.0
