run_id,mode,kind,frame,threads,conc,offered_rps,achieved_rps,gbps,p50_us,p95_us,p99_us,p999_us,fail,drops,reorder,rcnt,dist
knee-l7-pass-1024-768775-r1,l7-pass,knee,1024,8,,768775,0.768767,12.5955,503.00,957.00,1261.00,2966.00,0,0,278668,3841938,0:1281099;1:1281231;2:1281208
knee-l7-pass-1024-768775-r2,l7-pass,knee,1024,8,,768775,0.768732,12.5949,500.00,945.00,1205.00,1695.00,0,0,279273,3841789,0:1281206;1:1281564;2:1280619
closed-l7-pass-1024-c32-r1,l7-pass,closed,1024,8,32,,1.245091,20.3996,188.00,366.00,427.00,740.00,0,0,245049,6223081,0:2074956;1:2075039;2:2074686
closed-l7-pass-1024-c1-r1,l7-pass,closed,1024,1,1,,0.004783,0.0784,233.00,314.00,503.00,604.00,0,0,0,23678,0:7960;1:7959;2:7959
closed-l7-pass-1024-c32-r2,l7-pass,closed,1024,8,32,,1.175463,19.2588,191.00,385.00,570.00,770.00,0,0,259620,5875169,0:1959034;1:1959009;2:1958726
closed-l7-pass-1024-c1-r2,l7-pass,closed,1024,1,1,,0.004279,0.0701,239.00,470.00,596.00,877.00,0,0,0,21251,0:7151;1:7150;2:7150
rate-l7-pass-8192-28124-r1,l7-pass,rate,8192,8,,28124,0.028123,3.6861,299.00,371.00,2369.00,5751.00,0,0,447,139016,0:46872;1:46872;2:46872
rate-l7-pass-8192-28124-r2,l7-pass,rate,8192,8,,28124,0.028122,3.6860,301.00,374.00,3311.00,6733.00,0,0,530,139016,0:46872;1:46872;2:46872
rate-l7-pass-8192-56248-r1,l7-pass,rate,8192,8,,56248,0.056246,7.3723,217.00,402.00,3714.00,7056.00,0,0,22392,279626,0:93745;1:93744;2:93737
rate-l7-pass-8192-56248-r2,l7-pass,rate,8192,8,,56248,0.056248,7.3726,219.00,404.00,3560.00,7054.00,0,0,22449,279624,0:93744;1:93744;2:93736
