phase,arm,rep,req,reply,conc,threads,mrps,gbps,p50,p95,p99,p999,avg,rcnt,fail,drops,overflow,worker_fail,reorder,dist
B-scale,dpumesh,1,1024,8,32,6,0.300627,2.5589,573.00,1247.00,1530.00,1760.00,635.96,2993397,0,0,0,0,0,1:2011870,2:987527
B-scale,dpumesh,2,1024,8,32,1,0.038799,0.3303,836.00,1352.00,1547.00,1723.00,819.79,385004,0,0,0,0,0,1:386004
B-scale,dpumesh,2,1024,8,32,2,0.086113,0.7330,691.00,1452.00,1811.00,2075.00,740.19,857788,0,0,0,0,0,0:354014,1:505774
B-scale,dpumesh,2,1024,8,32,4,0.192361,1.6374,561.00,1386.00,1739.00,2055.00,662.72,1915221,0,0,0,0,0,0:773303,2:1145918
B-scale,dpumesh,2,1024,8,32,6,0.434135,3.6954,320.00,961.00,1343.00,1746.00,439.72,4325696,0,0,0,0,0,0:528185,1:2307279,2:1496232
B-scale,dpumesh,3,1024,8,32,1,0.037308,0.3176,831.00,1608.00,1919.00,2856.00,852.94,371434,0,0,0,0,0,0:372434
B-scale,dpumesh,3,1024,8,32,2,0.086727,0.7382,678.00,1453.00,1809.00,2100.00,735.00,862850,0,0,0,0,0,0:360965,1:503885
B-scale,dpumesh,3,1024,8,32,4,0.191979,1.6341,554.00,1402.00,1756.00,2076.00,664.02,1909611,0,0,0,0,0,0:768289,1:565080,2:580242
B-scale,dpumesh,3,1024,8,32,6,0.303217,2.5810,569.00,1235.00,1514.00,1723.00,630.53,3020586,0,0,0,0,0,1:2035316,2:991270
B-scale,preload,1,1024,8,32,1,0.026859,0.2286,1229.00,1994.00,2250.00,2488.00,1184.46,267186,0,0,0,0,0,
B-scale,preload,1,1024,8,32,2,0.055434,0.4719,1183.00,1952.00,2273.00,2559.00,1147.57,550605,0,0,0,0,0,
B-scale,preload,1,1024,8,32,4,0.151310,1.2879,809.00,1558.00,1906.00,2245.00,840.00,1505409,0,0,0,0,0,
B-scale,preload,1,1024,8,32,6,0.272973,2.3235,634.00,1337.00,1676.00,2035.00,698.60,2717052,0,0,0,0,0,
B-scale,preload,2,1024,8,32,1,0.027919,0.2376,1190.00,1956.00,2223.00,2414.00,1139.63,276926,0,0,0,0,0,
B-scale,preload,2,1024,8,32,2,0.057073,0.4858,1151.00,1904.00,2202.00,2435.00,1114.44,567666,0,0,0,0,0,
B-scale,preload,2,1024,8,32,4,0.150279,1.2792,819.00,1557.00,1896.00,2202.00,845.78,1495052,0,0,0,0,0,
B-scale,preload,2,1024,8,32,6,0.280132,2.3845,619.00,1296.00,1629.00,1962.00,680.76,2789325,0,0,0,0,0,
B-scale,preload,3,1024,8,32,1,0.027458,0.2337,1201.00,2010.00,2314.00,2572.00,1159.25,272846,0,0,0,0,0,
B-scale,preload,3,1024,8,32,2,0.060102,0.5116,1079.00,1883.00,2242.00,2494.00,1058.22,597149,0,0,0,0,0,
B-scale,preload,3,1024,8,32,4,0.152998,1.3023,800.00,1549.00,1897.00,2194.00,830.76,1522675,0,0,0,0,0,
B-scale,preload,3,1024,8,32,6,0.273745,2.3301,629.00,1328.00,1677.00,2144.00,696.72,2724200,0,0,0,0,0,
B-scale,grpc-dpumesh,1,1024,8,32,1,0.002216,0.0189,14488.00,15267.00,15781.00,16932.00,14448.99,21775,0,0,0,0,0,NA
B-scale,grpc-dpumesh,1,1024,8,32,2,0.005353,0.0456,12029.00,13017.00,13734.00,16015.00,11965.26,53128,0,0,0,0,0,NA
B-scale,grpc-dpumesh,1,1024,8,32,4,0.012498,0.1064,10372.00,11255.00,11903.00,12748.00,10244.22,124670,0,0,0,0,0,NA
B-scale,grpc-dpumesh,1,1024,8,32,6,0.017825,0.1517,10851.00,11896.00,12593.00,15378.00,10770.42,177493,0,0,0,0,0,NA
B-scale,grpc-dpumesh,2,1024,8,32,1,0.002258,0.0192,14232.00,14946.00,15431.00,16191.00,14180.47,22232,0,0,0,0,0,NA
B-scale,grpc-dpumesh,2,1024,8,32,2,0.005312,0.0452,12096.00,13047.00,13662.00,14240.00,12053.32,52648,0,0,0,0,0,NA
B-scale,grpc-dpumesh,2,1024,8,32,4,0.011434,0.0973,11256.00,12487.00,13222.00,14527.00,11195.75,113749,0,0,0,0,0,NA
B-scale,grpc-dpumesh,2,1024,8,32,6,0.019439,0.1655,9926.00,11118.00,11820.00,13790.00,9877.98,194258,0,0,0,0,0,NA
B-scale,grpc-dpumesh,3,1024,8,32,1,0.002175,0.0185,14775.00,15505.00,15978.00,16674.00,14715.68,21381,0,0,0,0,0,NA
B-scale,grpc-dpumesh,3,1024,8,32,2,0.005233,0.0445,12279.00,13349.00,14082.00,18230.00,12232.36,51823,0,0,0,0,0,NA
B-scale,grpc-dpumesh,3,1024,8,32,4,0.012334,0.1050,10482.00,11347.00,11984.00,12930.00,10381.32,122979,0,0,0,0,0,NA
B-scale,grpc-dpumesh,3,1024,8,32,6,0.019598,0.1668,9911.00,10749.00,11342.00,12611.00,9799.43,195747,0,0,0,0,0,NA
C-lb,dpumesh,1,1024,8,32,1,0.037065,0.3155,854.00,1365.00,1560.00,1905.00,858.36,366237,0,0,0,0,0,2:367237
C-lb,dpumesh,1,1024,8,32,3,0.171374,1.4587,452.00,1182.00,1574.00,1960.00,557.47,1704381,0,0,0,0,0,0:434196,1:629364,2:643821
C-lb,dpumesh,1,1024,8,32,6,0.415441,3.5362,370.00,965.00,1318.00,1769.00,459.59,4139980,0,0,0,0,0,0:1688733,1:1641475,2:815772
C-lb,dpumesh,2,1024,8,32,1,0.044853,0.3818,637.00,1454.00,1837.00,2046.00,709.01,446634,0,0,0,0,0,0:447634
C-lb,dpumesh,2,1024,8,32,3,0.117090,0.9967,796.00,1532.00,1872.00,2148.00,816.96,1166267,0,0,0,0,0,0:699632,2:469635
C-lb,dpumesh,2,1024,8,32,6,0.289072,2.4606,567.00,1358.00,1681.00,2044.00,661.44,2881986,0,0,0,0,0,0:792405,1:515799,2:1579782
C-lb,dpumesh,3,1024,8,32,1,0.036882,0.3139,862.00,1369.00,1549.00,1711.00,862.60,366969,0,0,0,0,0,2:367969
C-lb,dpumesh,3,1024,8,32,3,0.144913,1.2335,632.00,1277.00,1521.00,1742.00,659.68,1443448,0,0,0,0,0,2:1446448
C-lb,dpumesh,3,1024,8,32,6,0.270110,2.2992,658.00,1394.00,1705.00,2045.00,708.07,2687591,0,0,0,0,0,0:757252,1:972707,2:963632
