config,body,rate,role,core,site,samples,cores,share
dpumesh-preload,48,120000,server,19,transport-code,84,0.01433,0.0726
dpumesh-preload,48,120000,server,19,driver-code,64,0.01092,0.05532
dpumesh-preload,48,120000,server,19,kernel-net,52,0.00887,0.04494
dpumesh-preload,48,120000,server,19,app-code,13,0.00222,0.01124
dpumesh-preload,48,120000,server,19,vdso,6,0.00102,0.00519
dpumesh-preload,48,260000,client,18,kernel-sched,1302,0.2134,0.44241
dpumesh-preload,48,260000,client,18,kernel-syscall,452,0.07408,0.15358
dpumesh-preload,48,260000,client,18,libc,390,0.06392,0.13252
dpumesh-preload,48,260000,client,18,transport-code,160,0.02622,0.05437
dpumesh-preload,48,260000,client,18,kernel-other,160,0.02622,0.05437
dpumesh-preload,48,260000,client,18,kernel-poll,158,0.0259,0.05369
dpumesh-preload,48,260000,client,18,app-code,125,0.02049,0.04247
dpumesh-preload,48,260000,client,18,vdso,90,0.01475,0.03058
dpumesh-preload,48,260000,client,18,kernel-net,72,0.0118,0.02446
dpumesh-preload,48,260000,client,18,driver-code,34,0.00557,0.01155
dpumesh-preload,48,260000,server,19,kernel-sched,449,0.07635,0.3555
dpumesh-preload,48,260000,server,19,kernel-syscall,216,0.03673,0.17102
dpumesh-preload,48,260000,server,19,transport-code,115,0.01956,0.09105
dpumesh-preload,48,260000,server,19,libc,111,0.01888,0.08789
dpumesh-preload,48,260000,server,19,kernel-poll,103,0.01751,0.08155
dpumesh-preload,48,260000,server,19,kernel-other,101,0.01717,0.07997
dpumesh-preload,48,260000,server,19,driver-code,76,0.01292,0.06017
dpumesh-preload,48,260000,server,19,kernel-net,68,0.01156,0.05384
dpumesh-preload,48,260000,server,19,app-code,19,0.00323,0.01504
dpumesh-preload,48,260000,server,19,vdso,5,0.00085,0.00396
dpumesh-preload,48,400000,client,18,kernel-sched,1311,0.21555,0.44097
dpumesh-preload,48,400000,client,18,kernel-syscall,498,0.08188,0.16751
dpumesh-preload,48,400000,client,18,libc,350,0.05755,0.11773
dpumesh-preload,48,400000,client,18,transport-code,154,0.02532,0.0518
dpumesh-preload,48,400000,client,18,kernel-poll,152,0.02499,0.05113
dpumesh-preload,48,400000,client,18,app-code,152,0.02499,0.05113
dpumesh-preload,48,400000,client,18,kernel-other,122,0.02006,0.04104
dpumesh-preload,48,400000,client,18,vdso,109,0.01792,0.03666
dpumesh-preload,48,400000,client,18,kernel-net,94,0.01546,0.03162
dpumesh-preload,48,400000,client,18,driver-code,31,0.0051,0.01043
