arm,protocol,size,mode,kind,reps,rps,rps_min,rps_max,p50_us,p50_us_min,p50_us_max,p99_us,p99_us_min,p99_us_max,cpu_seconds,cpu_seconds_min,cpu_seconds_max,cpu_us_per_scheduled_rpc,cpu_us_per_scheduled_rpc_min,cpu_us_per_scheduled_rpc_max,dmesh_tx_writer_wakes_total,dmesh_tx_writer_wakes_total_min,dmesh_tx_writer_wakes_total_max,dmesh_tx_publications_total,dmesh_tx_publications_total_min,dmesh_tx_publications_total_max,dmesh_tx_reserve_attempts_total,dmesh_tx_reserve_attempts_total_min,dmesh_tx_reserve_attempts_total_max,dmesh_tx_arena_copy_bytes_total,dmesh_tx_arena_copy_bytes_total_min,dmesh_tx_arena_copy_bytes_total_max,dmesh_tx_retries_total,dmesh_tx_retries_total_min,dmesh_tx_retries_total_max,dmesh_tx_accepted_bytes_total,dmesh_tx_accepted_bytes_total_min,dmesh_tx_accepted_bytes_total_max,dmesh_worker_drain_calls_total,dmesh_worker_drain_calls_total_min,dmesh_worker_drain_calls_total_max,dmesh_worker_arms_total,dmesh_worker_arms_total_min,dmesh_worker_arms_total_max
lean2,opaque,64,matched,clean,3,19999.0,19999.0,20000.0,249.0,237.0,284.0,489.0,484.0,495.0,11.79,11.73,11.81,73.6875,73.3125,73.8125,0.0,0.0,0.0,319237.0,318614.0,319431.0,319237.0,318614.0,319431.0,25600000.0,25600000.0,25600000.0,0.0,0.0,0.0,25600000.0,25600000.0,25600000.0,4462175.0,4456420.0,4469743.0,1201243.0,1200380.0,1202752.0
lean2,opaque,1024,capacity,clean,3,125647.00000000001,122169.0,131259.0,467.0,450.0,478.0,1149.0,1120.0,1181.0,24.62,24.13,25.75,24.59476577031965,24.54367821569842,24.71938427937309,0.0,0.0,0.0,602631.0,587894.0,631400.0,602631.0,587894.0,631400.0,2082134080.0,2030406560.0,2182232000.0,0.0,0.0,0.0,2082134080.0,2030406560.0,2182232000.0,8784409.0,8561926.0,9197225.0,2305605.0,2243215.0,2409238.0
lean2,opaque,1024,matched,clean,3,20049.0,19999.0,20051.0,257.0,226.0,260.0,483.0,482.0,518.0,12.17,12.11,12.24,76.0625,75.6875,76.5,3.0,2.0,3.0,317858.0,317804.0,318841.0,317858.0,317804.0,318841.0,332800000.0,332800000.0,332800000.0,6.0,4.0,6.0,332800000.0,332800000.0,332800000.0,4548030.0,4536115.0,4571747.0,1212886.0,1209288.0,1219354.0
lean3,grpc,64,capacity,clean,3,36121.0,35895.0,36200.0,1784.0,1777.0,1791.0,2662.0,2608.0,2745.0,52.27,52.17,52.29,175.15358178858304,174.12189532032832,175.18762907369162,0.0,0.0,0.0,220345.0,219639.0,220386.0,220345.0,219639.0,220386.0,70463107.0,70287501.0,70853400.0,0.0,0.0,0.0,70463107.0,70287501.0,70853400.0,2315409.0,2309054.0,2330785.0,509684.0,509514.0,515139.0
lean3,grpc,64,capacity,profile,1,35267.0,35267.0,35267.0,1823.0,1823.0,1823.0,2873.0,2873.0,2873.0,103.56,103.56,103.56,180.21498415549024,180.21498415549024,180.21498415549024,0.0,0.0,0.0,425503.0,425503.0,425503.0,425503.0,425503.0,425503.0,135629817.0,135629817.0,135629817.0,0.0,0.0,0.0,135629817.0,135629817.0,135629817.0,4432269.0,4432269.0,4432269.0,967724.0,967724.0,967724.0
lean3,grpc,64,matched,clean,3,19999.0,19999.0,20000.0,974.0,950.0,979.0,1916.0,1911.0,1967.0,52.1,52.0,52.13,325.625,325.00203126269537,325.81453634085216,0.0,0.0,0.0,261917.0,261292.0,262101.0,261917.0,261292.0,262101.0,37768240.0,37768165.0,37768442.0,0.0,0.0,0.0,37768240.0,37768165.0,37768442.0,2578288.0,2576655.0,2590074.0,531575.0,531393.0,536462.0
lean3,grpc,1024,capacity,clean,3,34833.0,34733.0,35339.0,1838.0,1824.0,1842.0,3102.0,2792.0,3492.0,52.52,52.38,52.92,181.68861090546795,180.55086437191022,181.88573631082392,0.0,0.0,0.0,216894.0,216704.0,217274.0,216894.0,216704.0,217274.0,624647768.0,622346162.0,633403532.0,0.0,0.0,0.0,624647768.0,622346162.0,633403532.0,2256173.0,2245585.0,2268501.0,494475.0,490512.0,499206.0
lean3,grpc,1024,matched,clean,3,20000.0,19999.0,20005.0,1012.0,996.0,1019.0,2011.0,1971.0,2019.0,52.41,52.38,52.44,327.5645472784205,327.37704610653816,327.7520484503028,0.0,0.0,0.0,255270.0,255009.0,255487.0,255270.0,255009.0,255487.0,345776725.0,345774651.0,345777830.0,0.0,0.0,0.0,345776725.0,345774651.0,345777830.0,2503204.0,2497705.0,2508123.0,513324.0,512211.0,515717.0
lean3,grpc,8192,capacity,clean,3,21465.0,21323.0,21525.0,2950.0,2947.0,2970.0,4584.0,4295.0,4945.0,54.17,54.03,54.19,304.04571069351834,303.27281681627903,305.212852494577,1.0,1.0,1.0,423493.0,421752.0,424351.0,423493.0,421752.0,424351.0,2939147801.0,2920233402.0,2947718343.0,1.0,1.0,1.0,2939147801.0,2920233402.0,2947718343.0,1365610.0,1361508.0,1366212.0,158891.0,157540.0,160171.0
lean3,grpc,8192,matched,clean,3,9999.0,9999.0,9999.0,1691.0,1673.0,1698.0,2249.0,2236.0,2301.0,42.77,42.71,42.82,534.625,533.875,535.25,0.0,0.0,0.0,317722.0,317332.0,318517.0,317722.0,317332.0,318517.0,1319791297.0,1319783122.0,1319791314.0,0.0,0.0,0.0,1319791297.0,1319783122.0,1319791314.0,2999352.0,2983141.0,3007575.0,605724.0,601654.0,607402.0
lean3,grpc,65536,capacity,clean,3,13213.0,13200.0,13252.0,4792.0,4780.0,4804.0,7740.0,7289.0,7954.0,63.44,63.39,63.62,578.5289903350339,578.1218763062719,578.6051093093039,8.0,0.0,8.0,1478997.0,1477117.0,1484760.0,1478997.0,1477117.0,1484760.0,14396781136.0,14387140107.0,14449541106.0,8.0,0.0,8.0,14396781136.0,14387140107.0,14449541106.0,2898385.0,2898269.0,2909083.0,138251.0,137672.0,138761.0
lean3,grpc,65536,capacity,profile,1,13100.0,13100.0,13100.0,4852.0,4852.0,4852.0,7347.0,7347.0,7347.0,124.95,124.95,124.95,585.3391172364686,585.3391172364686,585.3391172364686,8.0,8.0,8.0,2881319.0,2881319.0,2881319.0,2881319.0,2881319.0,2881319.0,28030623771.0,28030623771.0,28030623771.0,8.0,8.0,8.0,28030623771.0,28030623771.0,28030623771.0,5594430.0,5594430.0,5594430.0,258329.0,258329.0,258329.0
lean3,grpc,65536,capacity,stat,3,11687.0,11634.0,12666.0,4770.0,4753.0,4811.0,7429.0,7184.0,8026.0,83.18,82.8,90.87,578.3496081471858,578.1447655587529,582.8698982046299,8.0,8.0,8.0,1938705.0,1929653.0,2103525.0,1938705.0,1929653.0,2103525.0,18891021562.0,18798829070.0,20471360169.0,8.0,8.0,8.0,18891021562.0,18798829070.0,20471360169.0,3766569.0,3747698.0,4113005.0,186620.0,182835.0,194936.0
lean3,grpc,65536,matched,clean,3,2000.0,2000.0,2000.0,1412.0,1408.0,1420.0,2532.0,2506.0,2716.0,15.09,15.06,15.1,943.125,941.25,943.75,0.0,0.0,0.0,200293.0,199702.0,200510.0,200293.0,199702.0,200510.0,2100718732.0,2100714528.0,2100719759.0,0.0,0.0,0.0,2100718732.0,2100714528.0,2100719759.0,1305113.0,1301196.0,1306713.0,233293.0,232582.0,233372.0
lean3,opaque,64,capacity,clean,3,141604.0,141002.0,144780.0,421.0,413.0,422.0,1107.0,1084.0,1126.0,22.45,22.37,22.84,19.825780402768014,19.756230262150645,19.847219880934425,0.0,0.0,0.0,680148.0,677104.0,694316.0,680148.0,677104.0,694316.0,181178240.0,180337600.0,184974560.0,0.0,0.0,0.0,181178240.0,180337600.0,184974560.0,8843798.0,8806583.0,9028054.0,2189889.0,2178865.0,2234382.0
lean3,opaque,64,matched,clean,3,19999.0,19999.0,20001.0,259.0,247.0,259.0,484.0,484.0,495.0,10.64,10.64,10.65,66.5,66.5,66.5625,0.0,0.0,0.0,319002.0,318588.0,319249.0,319002.0,318588.0,319249.0,25600000.0,25600000.0,25600000.0,0.0,0.0,0.0,25600000.0,25600000.0,25600000.0,4127445.0,4121287.0,4128949.0,1029556.0,1027871.0,1030416.0
lean3,opaque,1024,capacity,clean,3,131095.0,130805.0,134756.0,449.0,438.0,450.0,1120.0,1099.0,1121.0,22.66,22.53,23.27,21.642048396346308,21.61729309129149,21.64233416298798,0.0,0.0,0.0,630264.0,626661.0,647813.0,630264.0,626661.0,647813.0,2177805760.0,2165340320.0,2239022240.0,0.0,0.0,0.0,2177805760.0,2165340320.0,2239022240.0,8539867.0,8494649.0,8779020.0,2065097.0,2052228.0,2123172.0
lean3,opaque,1024,matched,clean,3,19999.0,19998.0,19999.0,247.0,244.0,247.0,489.0,478.0,494.0,10.97,10.95,11.08,68.5625,68.4375,69.25,0.0,0.0,0.0,319025.0,318914.0,319181.0,319025.0,318914.0,319181.0,332800000.0,332800000.0,332800000.0,0.0,0.0,0.0,332800000.0,332800000.0,332800000.0,4210730.0,4209811.0,4236725.0,1037545.0,1034655.0,1042960.0
