arm,protocol,size,mode,kind,rep,valid,elapsed,cpu_seconds,scheduled,rps,p50_us,p99_us,cpu_us_per_scheduled_rpc,dmesh_tx_writer_wakes_total,dmesh_worker_drain_progressed_total,dmesh_worker_pe_progressed_total,dmesh_worker_drain_pending_total,dmesh_tx_errors_total,dmesh_worker_maintenances_total,dmesh_worker_cross_in_total,dmesh_tx_accepted_bytes_total,dmesh_tx_reserve_attempts_total,dmesh_worker_arms_total,dmesh_worker_local_completions_total,dmesh_worker_drain_calls_total,dmesh_worker_drain_idle_total,dmesh_worker_cross_out_total,dmesh_tx_publications_total,dmesh_worker_data_progressed_total,dmesh_tx_retries_total,dmesh_tx_arena_copy_bytes_total,dmesh_worker_notification_clears_total
lean,grpc,8192,matched,clean,1,True,8.527892151032574,43.95,80000,9999.0,1708.0,2314.0,549.375,0.0,2002427.0,313151.0,159550.0,0.0,65369.0,0.0,1319774862.0,317009.0,748153.0,313151.0,3287594.0,1125617.0,0.0,317009.0,2002427.0,0.0,1319774862.0,748153.0
lean,grpc,8192,matched,clean,2,True,8.525356426020153,43.93,80000,9999.0,1688.0,2293.0,549.125,0.0,2005281.0,313626.0,159289.0,0.0,65583.0,0.0,1319791331.0,317491.0,750650.0,313626.0,3297153.0,1132583.0,0.0,317491.0,2005281.0,0.0,1319791331.0,750650.0
lean,grpc,8192,matched,clean,3,True,8.513234021957032,43.91,80000,9999.0,1699.0,2409.0,548.875,0.0,2004562.0,313348.0,160002.0,0.0,68507.0,0.0,1319783173.0,317217.0,753276.0,313348.0,3299932.0,1135368.0,0.0,317217.0,2004562.0,0.0,1319783173.0,753276.0
lean2,grpc,1024,capacity,clean,1,True,8.537887929007411,53.09,289617,34930.0,1833.0,3467.0,183.31106254121823,0.0,1439476.0,215620.0,126082.0,0.0,65128.0,0.0,625888079.0,217475.0,620786.0,215620.0,2507981.0,942423.0,0.0,217475.0,1439476.0,0.0,625888079.0,620786.0
lean2,grpc,1024,capacity,clean,2,True,8.479747397010215,53.41,290997,35067.0,1831.0,2939.0,183.54141107983932,0.0,1445942.0,216747.0,125550.0,0.0,65040.0,0.0,628858676.0,218611.0,621920.0,216747.0,2517543.0,946051.0,0.0,218611.0,1445942.0,0.0,628858676.0,621920.0
lean2,grpc,1024,capacity,clean,3,True,8.471590051078238,52.43,284732,34308.0,1844.0,4569.0,184.13806667322254,0.0,1417932.0,212446.0,124140.0,0.0,64708.0,0.0,615328118.0,214269.0,611924.0,212446.0,2471267.0,929195.0,0.0,214269.0,1417932.0,0.0,615328118.0,611924.0
lean2,grpc,1024,matched,clean,1,True,8.517383713042364,53.15,159999,19999.0,1019.0,2127.0,332.18957618485115,0.0,1643251.0,253875.0,116157.0,0.0,65484.0,0.0,345773614.0,254939.0,637271.0,253875.0,2752503.0,993095.0,0.0,254939.0,1643251.0,0.0,345773614.0,637271.0
lean2,grpc,1024,matched,clean,2,True,8.546594633953646,53.12,159999,19999.0,1003.0,1984.0,332.0020750129688,0.0,1652928.0,255471.0,117841.0,0.0,65635.0,0.0,345773580.0,256536.0,644085.0,255471.0,2774011.0,1003242.0,0.0,256536.0,1652928.0,0.0,345773580.0,644085.0
lean2,grpc,1024,matched,clean,3,True,8.53396961092949,53.22,159999,19999.0,1008.0,2227.0,332.6270789192432,0.0,1649665.0,254445.0,116182.0,0.0,68384.0,0.0,345774617.0,255507.0,640943.0,254445.0,2764652.0,998805.0,0.0,255507.0,1649665.0,0.0,345774617.0,640943.0
lean2,grpc,64,capacity,clean,1,True,8.47711136797443,53.33,303372,36626.0,1769.0,2556.0,175.7907783183682,0.0,1486420.0,222582.0,128085.0,0.0,65699.0,0.0,71604155.0,222845.0,645785.0,222582.0,2603482.0,988977.0,0.0,222845.0,1486420.0,0.0,71604155.0,645785.0
