run_id,stage,sequence,config,frame_bytes,offered_rps,duration_s,achieved_rps,p50_us,p99_us,scheduled,admission_drops,pending,fail,overflow,reorder,achieved_ratio,schedule_ratio,admission_drop_ratio,client_busy_cores,server_busy_cores,host_busy_cores,host_core_budget,dpu_arm_cores,tx_grow_waits,clean,reason,raw_result
scout-64-grpc-dpumesh-pilot7-v1,pilot,7,grpc-dpumesh,64,30270,2,30229.000,1329.00,266402.00,60539,0,0,0,0,0,0.998646,0.999983,0.000000,0.923726,0.848075,1.771801,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-dpumesh-pilot7-v1.result.attempt1.txt
scout-64-grpc-dpumesh-pilot8-v1,pilot,8,grpc-dpumesh,64,40865,2,26991.000,271121.00,735874.00,75874,0,0,0,0,0,0.660492,0.928349,0.000000,0.978863,0.977534,1.956397,2,NA,0,0,achieved+scheduler,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-dpumesh-pilot8-v1.result.attempt1.txt
scout-64-grpc-dpumesh-validate8-v1,validate,8,grpc-dpumesh,64,40865,10,25479.000,3972165.71,3972165.71,381988,0,0,0,175701,0,0.623492,0.934756,0.000000,0.996273,0.996300,1.992573,2,1.416209,0,0,overflow+achieved+scheduler,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-dpumesh-validate8-v1.result.attempt1.txt
scout-64-grpc-dpumesh-validate8-v2,validate,8,grpc-dpumesh,64,40865,10,27309.000,3787322.26,3787322.26,381109,0,0,0,172570,0,0.668274,0.932605,0.000000,0.995998,0.996269,1.992267,2,1.441051,0,0,overflow+achieved+scheduler,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-dpumesh-validate8-v2.result.attempt1.txt
scout-64-grpc-dpumesh-backtrack7-v1,backtrack,7,grpc-dpumesh,64,30270,10,29798.000,11092.00,517669.00,302500,0,0,0,0,0,0.984407,0.999339,0.000000,0.956912,0.875514,1.832426,2,2.117574,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-dpumesh-backtrack7-v1.result.attempt1.txt
scout-64-grpc-dpumesh-backtrack7-v2,backtrack,7,grpc-dpumesh,64,30270,10,27947.000,343980.00,1001772.00,301766,0,0,0,2012,0,0.923257,0.996914,0.000000,0.950385,0.996182,1.946567,2,1.584648,0,0,overflow+achieved,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-dpumesh-backtrack7-v2.result.attempt1.txt
scout-64-grpc-dpumesh-backtrack7-v3,backtrack,7,grpc-dpumesh,64,30270,10,27518.000,405752.00,3572835.84,301862,0,0,0,13301,0,0.909085,0.997232,0.000000,0.996119,0.923998,1.920117,2,1.186001,0,0,overflow+achieved,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-dpumesh-backtrack7-v3.result.attempt1.txt
scout-64-grpc-dpumesh-backtrack6-v1,backtrack,6,grpc-dpumesh,64,22422,10,22422.000,244.00,12711.00,224220,0,0,0,0,0,1.000000,1.000000,0.000000,0.657265,0.660161,1.317426,2,1.920749,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-dpumesh-backtrack6-v1.result.attempt1.txt
scout-64-grpc-dpumesh-backtrack6-v2,backtrack,6,grpc-dpumesh,64,22422,10,22422.000,244.00,10925.00,224219,0,0,0,0,0,1.000000,0.999996,0.000000,0.660085,0.652258,1.312343,2,1.930580,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-dpumesh-backtrack6-v2.result.attempt1.txt
scout-64-grpc-dpumesh-refine1-v1,refine,1,grpc-dpumesh,64,26052,10,26051.000,248.00,272979.00,260520,0,0,0,0,0,0.999962,1.000000,0.000000,0.791302,0.799354,1.590656,2,2.155455,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-dpumesh-refine1-v1.result.attempt1.txt
