arm,protocol,size,mode,rep,symbol,self_percent
batch,grpc,1024,capacity,1,memcpy@plt,0.18
batch,grpc,1024,capacity,1,do_rallocx,0.18
batch,grpc,1024,capacity,1,tracing::span::Span::current,0.18
batch,grpc,1024,capacity,1,h2::proto::streams::recv::Recv::release_connection_capacity,0.18
batch,grpc,1024,capacity,1,dmesh_l7_driver_drain,0.18
batch,grpc,1024,capacity,1,"<linkerd_http_metrics::requests::service::ResponseFuture<F,C> as core::future::future::Future>::poll",0.18
batch,grpc,1024,capacity,1,h2::proto::streams::prioritize::Prioritize::pop_pending_open,0.17
batch,grpc,1024,capacity,1,mlx5dv_devx_get_event,0.17
batch,grpc,1024,capacity,1,px_l7_caller_conn,0.17
batch,grpc,1024,capacity,1,core::ptr::drop_in_place<h2::hpack::header::Header>,0.17
batch,grpc,1024,capacity,1,"<futures_util::future::either::Either<A,B> as core::future::future::Future>::poll",0.17
batch,grpc,1024,capacity,1,"<http_body_util::either::Either<L,R> as http_body::Body>::poll_frame",0.17
batch,grpc,1024,capacity,1,<tokio::sync::oneshot::Receiver<T> as core::future::future::Future>::poll,0.17
batch,grpc,1024,capacity,1,__fget_light,0.17
batch,grpc,1024,capacity,1,h2::proto::streams::prioritize::Prioritize::reserve_capacity,0.17
batch,grpc,1024,capacity,1,<S as futures_core::stream::TryStream>::try_poll_next,0.17
batch,grpc,1024,capacity,1,"<linkerd_proxy_tap::service::TapHttp<S,I> as tower_service::Service<http::request::Request<A>>>::call::{{closure}}",0.17
batch,grpc,1024,capacity,1,<dmesh_doca::io::DmeshIo as tokio::io::async_write::AsyncWrite>::poll_write_vectored,0.17
batch,grpc,1024,capacity,1,http::header::map::HeaderMap<T>::contains_key,0.17
batch,grpc,1024,capacity,1,http::extensions::Extensions::remove,0.17
batch,grpc,1024,capacity,1,_rjem_je_arena_ralloc_no_move,0.16
batch,grpc,1024,capacity,1,<linkerd_http_route::http::match::MatchRequest as linkerd_http_route::Match>::match_request,0.16
batch,grpc,1024,capacity,1,doca_dma_task_memcpy_alloc_init,0.16
batch,grpc,1024,capacity,1,0x00000000000004ac,0.16
batch,grpc,1024,capacity,1,dmesh_l7::pump_side,0.16
batch,grpc,1024,capacity,1,linkerd_http_prom::body_data::metrics::RequestBodyFamilies<L>::metrics,0.16
batch,grpc,1024,capacity,1,<h2::hpack::header::Header<T> as core::clone::Clone>::clone,0.16
batch,grpc,1024,capacity,1,core::ops::function::FnOnce::call_once,0.16
batch,grpc,1024,capacity,1,"<linkerd_stack_tracing::Instrument<T,G,S> as tower_service::Service<Req>>::poll_ready",0.15
batch,grpc,1024,capacity,1,tokio::sync::oneshot::Sender<T>::send,0.15
batch,grpc,1024,capacity,1,h2::proto::streams::prioritize::Prioritize::reclaim_frame_inner,0.15
batch,grpc,1024,capacity,1,linkerd_http_route::find::{{closure}},0.15
batch,grpc,1024,capacity,1,core::ptr::drop_in_place<h2::frame::headers::Pseudo>,0.15
batch,grpc,1024,capacity,1,dmesh_doca::io::DmeshIoHandle::flush_tx,0.15
batch,grpc,1024,capacity,1,<linkerd_http_detect::Detect<N> as tower_service::Service<I>>::call::{{closure}},0.15
batch,grpc,1024,capacity,1,"<linkerd_stack::either::vendor::Either<A,B> as tower_service::Service<Request>>::call",0.15
batch,grpc,1024,capacity,1,h2::client::Peer::convert_send_message,0.15
batch,grpc,1024,capacity,1,h2::proto::streams::state::State::recv_close,0.15
batch,grpc,1024,capacity,1,h2::share::RecvStream::poll_data,0.15
batch,grpc,1024,capacity,1,<linkerd_app_outbound::http::logical::Concrete<T> as core::hash::Hash>::hash,0.15
batch,grpc,1024,capacity,1,core::ptr::drop_in_place$LT$core..pin..Pin$LT$alloc..boxed..Box$LT$dyn$u20$core..future..future..Future$u2b$Output$u20$$u3d$$u20$$LP$$RP$$u2b$core..marker..Send$GT$$GT$$GT$::h223712d785558218,0.15
batch,grpc,1024,capacity,1,_rjem_sdallocx,0.15
batch,grpc,1024,capacity,1,hyper::proto::h2::strip_connection_headers,0.15
batch,grpc,1024,capacity,1,h2::proto::streams::store::Store::find_mut,0.15
batch,grpc,1024,capacity,1,"<hyper::client::conn::http2::Connection<T,B,E> as core::future::future::Future>::poll",0.15
batch,grpc,1024,capacity,1,"<linkerd_io::sensor::SensorIo<T,S> as tokio::io::async_read::AsyncRead>::poll_read",0.15
batch,grpc,1024,capacity,1,0x00000000000ae134,0.14
batch,grpc,1024,capacity,1,__aarch64_swp1_acq_rel,0.14
batch,grpc,1024,capacity,1,<dmesh_l7::DirectWriter as dmesh_doca::io::TxWriter>::try_write_vectored,0.14
batch,grpc,1024,capacity,1,<&mut S as tower_service::Service<Request>>::poll_ready,0.14
batch,grpc,1024,capacity,1,vfs_read,0.14
batch,grpc,1024,capacity,1,std::sys::pal::unix::time::Timespec::now,0.14
batch,grpc,1024,capacity,1,tokio::runtime::time::wheel::Wheel::next_expiration,0.14
batch,grpc,1024,capacity,1,<linkerd_app_core::classify::Eos as linkerd_http_classify::ClassifyEos>::eos,0.14
batch,grpc,1024,capacity,1,tokio::runtime::task::list::OwnedTasks<S>::bind_inner,0.14
batch,grpc,1024,capacity,1,core::ptr::drop_in_place<http::header::map::HeaderMap>,0.14
batch,grpc,1024,capacity,1,tokio::runtime::scheduler::current_thread::<impl tokio::runtime::task::Schedule for alloc::sync::Arc<tokio::runtime::scheduler::current_thread::Handle>>::release,0.14
batch,grpc,1024,capacity,1,0x00000000000004d8,0.14
batch,grpc,1024,capacity,1,hyper::client::conn::http2::SendRequest<B>::send_request::{{closure}},0.14
batch,grpc,1024,capacity,1,l7_conn_segment,0.13
batch,grpc,1024,capacity,1,security_file_permission,0.13
batch,grpc,1024,capacity,1,h2::proto::peer::Dyn::convert_poll_message,0.13
batch,grpc,1024,capacity,1,tokio::sync::task::atomic_waker::AtomicWaker::register_by_ref,0.13
batch,grpc,1024,capacity,1,linkerd_proxy_tap::registry::Registry::get_taps,0.13
batch,grpc,1024,capacity,1,tcache_bin_flush_edatas_lookup.constprop.0,0.13
batch,grpc,1024,capacity,1,dmesh_doca_dpa_msgq_recv_cb,0.13
batch,grpc,1024,capacity,1,0x0000000000076f48,0.13
batch,grpc,1024,capacity,1,<bytes::bytes_mut::BytesMut as bytes::buf::buf_mut::BufMut>::put,0.13
batch,grpc,1024,capacity,1,tokio::runtime::context::defer,0.13
batch,grpc,1024,capacity,1,px_parse_l7,0.13
batch,grpc,1024,capacity,1,priv_doca_ctx_on_arm,0.13
batch,grpc,1024,capacity,1,l7_worker_run,0.13
batch,grpc,1024,capacity,1,"<linkerd_http_metrics::requests::service::HttpMetrics<S,C> as tower_service::Service<http::request::Request<A>>>::call",0.13
batch,grpc,1024,capacity,1,tokio::runtime::time::entry::_::<impl core::ops::drop::Drop for tokio::runtime::time::entry::TimerEntry>::drop,0.13
batch,grpc,1024,capacity,1,<tokio::runtime::io::scheduled_io::Readiness as core::future::future::Future>::poll,0.13
batch,grpc,1024,capacity,1,"<alloc::vec::Vec<T,A> as core::clone::Clone>::clone",0.13
batch,grpc,1024,capacity,1,http::header::name::StandardHeader::as_str,0.13
batch,grpc,1024,capacity,1,linkerd_http_prom::record_response::end_stream,0.12
batch,grpc,1024,capacity,1,h2::proto::streams::store::Store::find_entry,0.12
batch,grpc,1024,capacity,1,_rjem_je_malloc_default,0.12
batch,grpc,1024,capacity,1,fsnotify_perm.part.0,0.12
batch,grpc,1024,capacity,1,core::ptr::drop_in_place<hyper::body::incoming::Incoming>,0.12
batch,grpc,1024,capacity,1,__aarch64_swp1_acq,0.12
batch,grpc,1024,capacity,1,linkerd_proxy_balance_queue::worker::PoolDriver<P>::ready_or_failfast::{{closure}},0.12
batch,grpc,1024,capacity,1,px_rev_stage_append,0.12
batch,grpc,1024,capacity,1,__GI___pthread_enable_asynccancel,0.12
batch,grpc,1024,capacity,1,<bytes::bytes::Bytes as bytes::buf::buf_impl::Buf>::remaining,0.12
batch,grpc,1024,capacity,1,_rjem_je_tcache_bin_flush_stashed,0.12
batch,grpc,1024,capacity,1,h2::proto::streams::send::Send::send_headers,0.12
batch,grpc,1024,capacity,1,"core::ptr::drop_in_place<linkerd_app_outbound::http::logical::policy::route::Matched<linkerd_http_route::http::match::RequestMatch,linkerd_app_outbound::http::logical::policy::route::Route<linkerd_app_outbound::http::Http<linkerd_app_outbound::sidecar::HttpSidecar>,linkerd_proxy_client_policy::http::Filter,linkerd_proxy_client_policy::http::RouteParams>>>",0.12
batch,grpc,1024,capacity,1,http::header::map::HeaderMap<T>::get_all,0.12
batch,grpc,1024,capacity,1,dmesh_l7_release,0.12
batch,grpc,1024,capacity,1,dmesh_l7_tx_batch_write,0.12
batch,grpc,1024,capacity,1,"<linkerd_app_outbound::http::logical::policy::route::Route<T,F,P> as core::clone::Clone>::clone",0.12
batch,grpc,1024,capacity,1,"<linkerd_app_outbound::http::logical::policy::route::filters::ApplyFilters<A,S> as tower_service::Service<http::request::Request<B>>>::call",0.12
batch,grpc,1024,capacity,1,<std::hash::random::DefaultHasher as core::hash::Hasher>::write,0.12
batch,grpc,1024,capacity,1,http::header::map::Entry<T>::or_try_insert_with,0.12
batch,grpc,1024,capacity,1,http::uri::path::PathAndQuery::from_shared,0.12
batch,grpc,1024,capacity,1,http::extensions::Extensions::insert,0.12
batch,grpc,1024,capacity,1,<core::future::poll_fn::PollFn<F> as core::future::future::Future>::poll,0.11
batch,grpc,1024,capacity,1,"tokio::runtime::task::harness::Harness<T,S>::complete",0.11
batch,grpc,1024,capacity,1,px_unit_prepare,0.11
batch,grpc,1024,capacity,1,"<linkerd_error_respond::RespondService<R,S> as tower_service::Service<Req>>::call",0.11
batch,grpc,1024,capacity,1,read,0.11
batch,grpc,1024,capacity,1,__GI___libc_write,0.11
batch,grpc,1024,capacity,1,find_pod_by_id,0.11
batch,grpc,1024,capacity,1,http::request::Builder::and_then,0.11
batch,grpc,1024,capacity,1,vfs_write,0.11
batch,grpc,1024,capacity,1,"hashbrown::map::HashMap<K,V,S,A>::insert",0.11
batch,grpc,1024,capacity,1,<linkerd_addr::Addr as core::hash::Hash>::hash,0.11
batch,grpc,1024,capacity,1,"core::ptr::drop_in_place<futures_util::future::try_future::into_future::IntoFuture<linkerd_app_outbound::http::logical::policy::route::filters::ResponseFuture<linkerd_app_outbound::http::logical::policy::route::Matched<linkerd_http_route::http::match::RequestMatch,linkerd_app_outbound::http::logical::policy::route::Route<linkerd_app_outbound::http::Http<linkerd_app_outbound::sidecar::HttpSidecar>,linkerd_proxy_client_policy::http::Filter,linkerd_proxy_client_policy::http::RouteParams>>,futures_util::future::either::Either<futures_util::future::try_future::MapErr<core::pin::Pin<alloc::boxed::Box<dyn core::future::future::Future+Output = core::result::Result<http::response::Response<linkerd_http_box::body::BoxBody>,alloc::boxed::Box<dyn core::error::Error+core::marker::Sync+core::marker::Send>>+core::marker::Send>>,fn(alloc::boxed::Box<dyn core::error::Error+core::marker::Sync+core::marker::Send>) .> alloc::boxed::Box<dyn core::error::Error+core::marker::Sync+core::marker::Send>>,futures_util::future::ready::Ready<core::result::Result<http::response::Response<linkerd_http_box::body::BoxBody>,alloc::boxed::Box<dyn core::error::Error+core::marker::Sync+core::marker::Send>>>>>>>",0.11
batch,grpc,1024,capacity,1,0x000000000001d81c,0.11
batch,grpc,1024,capacity,1,eventfd_read,0.11
batch,grpc,1024,capacity,1,h2::proto::streams::state::State::send_close,0.11
batch,grpc,1024,capacity,1,hyper::proto::h2::ping::Recorder::record_non_data,0.11
batch,grpc,1024,capacity,1,bytes::bytes_mut::BytesMut::reserve_inner,0.11
batch,grpc,1024,capacity,1,<core::pin::Pin<P> as core::future::future::Future>::poll,0.11
batch,grpc,1024,capacity,1,h2::proto::streams::state::State::send_open,0.11
batch,grpc,1024,capacity,1,"hyper::proto::h2::client::ClientTask<B,E,T>::poll_pipe",0.11
batch,grpc,1024,capacity,1,clock_gettime@plt,0.1
batch,grpc,1024,capacity,1,<h2::proto::streams::streams::OpaqueStreamRef as core::clone::Clone>::clone,0.1
batch,grpc,1024,capacity,1,memblock_is_map_memory,0.1
batch,grpc,1024,capacity,1,doca_pe_request_notification,0.1
batch,grpc,1024,capacity,1,<tokio::sync::notify::Notified as core::future::future::Future>::poll,0.1
batch,grpc,1024,capacity,1,h2::frame::headers::Headers::encode,0.1
batch,grpc,1024,capacity,1,<bytes::bytes_mut::BytesMut as core::ops::drop::Drop>::drop,0.1
batch,grpc,1024,capacity,1,"h2::proto::streams::streams::Streams<B,P>::clear_expired_reset_streams",0.1
batch,grpc,1024,capacity,1,"core::ptr::drop_in_place<alloc::vec::into_iter::IntoIter<(dmesh_doca::api::SessionToken,dmesh_doca::io::DmeshIoHandle)>>",0.1
batch,grpc,1024,capacity,1,core::ptr::drop_in_place<tracing::span::EnteredSpan>,0.1
batch,grpc,1024,capacity,1,0x00000000000b03b4,0.1
