arm,protocol,size,mode,kind,rep,valid,elapsed,cpu_seconds,scheduled,rps,p50_us,p99_us,cpu_us_per_scheduled_rpc,dmesh_worker_drain_calls_total,dmesh_worker_arms_total,dmesh_tx_writer_wakes_total,dmesh_tx_accepted_bytes_total,dmesh_worker_maintenances_total,dmesh_worker_local_completions_total,dmesh_worker_drain_progressed_total,dmesh_worker_drain_idle_total,dmesh_tx_publications_total,dmesh_tx_reserve_attempts_total,dmesh_tx_retries_total,dmesh_tx_budget_wait_total,dmesh_tx_errors_total,dmesh_worker_notification_clears_total,dmesh_worker_cross_out_total,dmesh_worker_cross_in_total,dmesh_worker_drain_pending_total,dmesh_worker_data_progressed_total,dmesh_tx_arena_copy_bytes_total,dmesh_worker_pe_progressed_total
batch,opaque,1024,matched,clean,3,True,8.254151316941716,12.89,160000,20156.0,265.0,1789.0,80.5625,3643682.0,793254.0,9.0,332800000.0,59514.0,316516.0,2207971.0,1287386.0,315568.0,315568.0,0.0,22.0,0.0,793254.0,0.0,0.0,148325.0,2207971.0,332800000.0,316516.0
batch,opaque,64,capacity,clean,1,True,8.264237822033465,25.78,1086449,135901.0,441.0,1103.0,23.728679394983107,7502303.0,1622885.0,0.0,173831840.0,66424.0,652626.0,4568869.0,2630234.0,652610.0,652610.0,0.0,0.0,0.0,1622885.0,0.0,0.0,303200.0,4568869.0,173831840.0,652626.0
batch,opaque,64,capacity,clean,2,True,8.226048943004571,25.52,1077155,134772.0,443.0,1104.0,23.692040606969286,7436999.0,1608746.0,0.0,172344800.0,65827.0,646996.0,4529544.0,2606457.0,646972.0,646972.0,0.0,0.0,0.0,1608746.0,0.0,0.0,300998.0,4529544.0,172344800.0,646996.0
batch,opaque,64,capacity,clean,3,True,8.261534475022927,25.62,1080766,135303.0,441.0,1100.0,23.70540894143598,7463512.0,1615141.0,0.0,172922560.0,66089.0,649207.0,4544984.0,2615944.0,649183.0,649183.0,0.0,0.0,0.0,1615141.0,0.0,0.0,302584.0,4544984.0,172922560.0,649207.0
batch,opaque,64,capacity,trace,1,True,12.275749902008101,37.97,1361334,113510.0,522.0,1230.0,27.891759112752638,9395374.0,2020281.0,0.0,217813440.0,98458.0,818471.0,5729607.0,3298679.0,818447.0,818447.0,0.0,0.0,0.0,2020281.0,0.0,0.0,367088.0,5729607.0,217813440.0,818471.0
batch,opaque,64,matched,clean,1,True,8.248465602984652,12.69,160000,19999.0,267.0,490.0,79.3125,3681658.0,801476.0,0.0,25600000.0,59706.0,318929.0,2231604.0,1299397.0,318779.0,318779.0,0.0,0.0,0.0,801476.0,0.0,0.0,150657.0,2231604.0,25600000.0,318929.0
batch,opaque,64,matched,clean,2,True,8.18561685399618,12.69,160000,19999.0,224.0,472.0,79.3125,3687830.0,805324.0,0.0,25600000.0,59022.0,319155.0,2233534.0,1300491.0,319046.0,319046.0,0.0,0.0,0.0,805324.0,0.0,0.0,153805.0,2233534.0,25600000.0,319155.0
batch,opaque,64,matched,clean,3,True,8.189350620028563,12.78,160000,20000.0,263.0,491.0,79.875,3690443.0,803238.0,0.0,25600000.0,63196.0,319418.0,2235426.0,1304970.0,319349.0,319349.0,0.0,0.0,0.0,803238.0,0.0,0.0,150047.0,2235426.0,25600000.0,319418.0
lean,grpc,1024,capacity,clean,1,True,8.47605372092221,53.67,292301,35227.0,1829.0,2752.0,183.612098487518,2523687.0,614430.0,0.0,631682037.0,65733.0,217488.0,1457962.0,950456.0,219358.0,219358.0,0.0,,0.0,614430.0,0.0,0.0,115269.0,1457962.0,631682037.0,217488.0
lean,grpc,1024,capacity,clean,2,True,8.4608328579925,53.06,288802,34828.0,1836.0,3233.0,183.7244894425939,2500108.0,609729.0,0.0,624120579.0,67902.0,215338.0,1442080.0,943943.0,217179.0,217179.0,0.0,,0.0,609729.0,0.0,0.0,114085.0,1442080.0,624120579.0,215338.0
lean,grpc,1024,capacity,clean,3,True,8.477432834915817,52.63,287460,34638.0,1829.0,4880.0,183.08634244764488,2484371.0,606008.0,0.0,621224610.0,65362.0,213643.0,1433102.0,937526.0,215483.0,215483.0,0.0,,0.0,606008.0,0.0,0.0,113743.0,1433102.0,621224610.0,213643.0
lean,grpc,1024,capacity,profile,1,True,16.484489975962788,105.06,557099,34187.0,1873.0,3027.0,188.58407572083237,4792128.0,1157328.0,0.0,1203935084.0,123141.0,420102.0,2788297.0,1786486.0,423617.0,423617.0,0.0,,0.0,1157328.0,0.0,0.0,217345.0,2788297.0,1203935084.0,420102.0
lean,grpc,1024,capacity,trace,1,True,12.544251314015128,79.16,400128,32539.0,1937.0,5566.0,197.83669225847729,3413260.0,819395.0,0.0,864700028.0,95640.0,298788.0,1994934.0,1268128.0,301341.0,301341.0,0.0,,0.0,819395.0,0.0,0.0,150198.0,1994934.0,864700028.0,298788.0
lean,grpc,1024,matched,clean,1,True,8.458699245005846,53.13,159999,19999.0,996.0,2040.0,332.0645754035963,2789983.0,645098.0,0.0,345776725.0,65325.0,256249.0,1659722.0,1017204.0,257323.0,257323.0,0.0,,0.0,645098.0,0.0,0.0,113057.0,1659722.0,345776725.0,256249.0
lean,grpc,1024,matched,clean,2,True,8.459333249018528,53.19,159999,19999.0,1003.0,2011.0,332.43957774736094,2790876.0,646019.0,0.0,345777796.0,68383.0,255973.0,1658893.0,1019414.0,257037.0,257037.0,0.0,,0.0,646019.0,0.0,0.0,112569.0,1658893.0,345777796.0,255973.0
