arm,protocol,size,mode,kind,reps,rps,rps_min,rps_max,p50_us,p50_us_min,p50_us_max,p99_us,p99_us_min,p99_us_max,cpu_seconds,cpu_seconds_min,cpu_seconds_max,cpu_us_per_scheduled_rpc,cpu_us_per_scheduled_rpc_min,cpu_us_per_scheduled_rpc_max,dmesh_tx_budget_wait_total,dmesh_tx_budget_wait_total_min,dmesh_tx_budget_wait_total_max,dmesh_tx_writer_wakes_total,dmesh_tx_writer_wakes_total_min,dmesh_tx_writer_wakes_total_max,dmesh_tx_publications_total,dmesh_tx_publications_total_min,dmesh_tx_publications_total_max,dmesh_tx_reserve_attempts_total,dmesh_tx_reserve_attempts_total_min,dmesh_tx_reserve_attempts_total_max,dmesh_tx_arena_copy_bytes_total,dmesh_tx_arena_copy_bytes_total_min,dmesh_tx_arena_copy_bytes_total_max,dmesh_tx_retries_total,dmesh_tx_retries_total_min,dmesh_tx_retries_total_max,dmesh_tx_accepted_bytes_total,dmesh_tx_accepted_bytes_total_min,dmesh_tx_accepted_bytes_total_max,dmesh_worker_drain_calls_total,dmesh_worker_drain_calls_total_min,dmesh_worker_drain_calls_total_max,dmesh_worker_arms_total,dmesh_worker_arms_total_min,dmesh_worker_arms_total_max
batch,opaque,1024,matched,clean,3,20000.0,19999.0,20156.0,265.0,240.0,269.0,491.0,486.0,1789.0,12.93,12.89,13.04,80.8125,80.5625,81.5,0.0,0.0,22.0,0.0,0.0,9.0,318887.0,315568.0,319010.0,318887.0,315568.0,319010.0,332800000.0,332800000.0,332800000.0,0.0,0.0,0.0,332800000.0,332800000.0,332800000.0,3678549.0,3643682.0,3681232.0,798816.0,793254.0,799813.0
lean,grpc,64,capacity,clean,3,36694.0,36665.0,36937.0,1768.0,1762.0,1768.0,2553.0,2513.0,2562.0,53.25,53.25,53.55,174.91648353814165,174.86228166705308,175.5681649582428,,,,0.0,0.0,0.0,222387.0,221701.0,222585.0,222387.0,221701.0,222585.0,71853619.0,71586724.0,72281469.0,0.0,0.0,0.0,71853619.0,71586724.0,72281469.0,2599570.0,2595181.0,2600795.0,636758.0,635520.0,636890.0
lean,grpc,64,capacity,profile,1,35277.0,35277.0,35277.0,1811.0,1811.0,1811.0,2955.0,2955.0,2955.0,104.01,104.01,104.01,180.91275625393536,180.91275625393536,180.91275625393536,,,,0.0,0.0,0.0,425651.0,425651.0,425651.0,425651.0,425651.0,425651.0,135693432.0,135693432.0,135693432.0,0.0,0.0,0.0,135693432.0,135693432.0,135693432.0,4889680.0,4889680.0,4889680.0,1186242.0,1186242.0,1186242.0
lean,grpc,64,capacity,trace,1,33452.0,33452.0,33452.0,1887.0,1887.0,1887.0,5441.0,5441.0,5441.0,78.42,78.42,78.42,190.5947031102275,190.5947031102275,190.5947031102275,,,,0.0,0.0,0.0,302465.0,302465.0,302465.0,302465.0,302465.0,302465.0,97112561.0,97112561.0,97112561.0,0.0,0.0,0.0,97112561.0,97112561.0,97112561.0,3487340.0,3487340.0,3487340.0,842845.0,842845.0,842845.0
lean,grpc,64,matched,clean,3,20000.0,20000.0,20000.0,963.0,958.0,968.0,1941.0,1937.0,2103.0,52.81,52.78,52.98,330.06456290351815,329.8770617316358,331.1270695441847,,,,0.0,0.0,0.0,262589.0,261911.0,263861.0,262589.0,261911.0,263861.0,37768189.0,37768165.0,37768263.0,0.0,0.0,0.0,37768189.0,37768165.0,37768263.0,2867405.0,2854473.0,2881857.0,667485.0,662569.0,670460.0
lean,grpc,1024,capacity,clean,3,34828.0,34638.0,35227.0,1829.0,1829.0,1836.0,3233.0,2752.0,4880.0,53.06,52.63,53.67,183.612098487518,183.08634244764488,183.7244894425939,,,,0.0,0.0,0.0,217179.0,215483.0,219358.0,217179.0,215483.0,219358.0,624120579.0,621224610.0,631682037.0,0.0,0.0,0.0,624120579.0,621224610.0,631682037.0,2500108.0,2484371.0,2523687.0,609729.0,606008.0,614430.0
lean,grpc,1024,capacity,profile,1,34187.0,34187.0,34187.0,1873.0,1873.0,1873.0,3027.0,3027.0,3027.0,105.06,105.06,105.06,188.58407572083237,188.58407572083237,188.58407572083237,,,,0.0,0.0,0.0,423617.0,423617.0,423617.0,423617.0,423617.0,423617.0,1203935084.0,1203935084.0,1203935084.0,0.0,0.0,0.0,1203935084.0,1203935084.0,1203935084.0,4792128.0,4792128.0,4792128.0,1157328.0,1157328.0,1157328.0
lean,grpc,1024,capacity,trace,1,32539.0,32539.0,32539.0,1937.0,1937.0,1937.0,5566.0,5566.0,5566.0,79.16,79.16,79.16,197.83669225847729,197.83669225847729,197.83669225847729,,,,0.0,0.0,0.0,301341.0,301341.0,301341.0,301341.0,301341.0,301341.0,864700028.0,864700028.0,864700028.0,0.0,0.0,0.0,864700028.0,864700028.0,864700028.0,3413260.0,3413260.0,3413260.0,819395.0,819395.0,819395.0
lean,grpc,1024,matched,clean,3,19999.0,19999.0,19999.0,1003.0,996.0,1009.0,2040.0,2011.0,2105.0,53.13,53.02,53.19,332.0645754035963,331.375,332.43957774736094,,,,0.0,0.0,0.0,257037.0,256986.0,257323.0,257037.0,256986.0,257323.0,345777796.0,345776725.0,345778903.0,0.0,0.0,0.0,345777796.0,345776725.0,345778903.0,2789983.0,2784931.0,2790876.0,645098.0,641839.0,646019.0
lean,grpc,8192,capacity,clean,3,21619.0,21580.0,21621.0,2944.0,2936.0,2946.0,4407.0,4320.0,4685.0,54.72,54.71,54.75,305.07851244274553,304.87397205321923,305.47521468693117,,,,1.0,0.0,1.0,426576.0,426553.0,426858.0,426576.0,426553.0,426858.0,2960495768.0,2954622326.0,2960932641.0,1.0,0.0,1.0,2960495768.0,2954622326.0,2960932641.0,1425856.0,1423705.0,1436088.0,185519.0,184741.0,187924.0
