run_id,stage,sequence,config,frame_bytes,offered_rps,duration_s,achieved_rps,p50_us,p99_us,scheduled,admission_drops,pending,fail,overflow,reorder,achieved_ratio,schedule_ratio,admission_drop_ratio,client_busy_cores,server_busy_cores,host_busy_cores,host_core_budget,dpu_arm_cores,tx_grow_waits,clean,reason,raw_result
scout-64-grpc-envoy-permissive-pilot4-v1,pilot,4,grpc-envoy-permissive,64,12303,2,12300.000,198.00,347.00,24606,0,0,0,0,0,0.999756,1.000000,0.000000,0.816798,0.719843,1.536641,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-envoy-permissive-pilot4-v1.result.attempt1.txt
scout-64-grpc-envoy-permissive-pilot5-v1,pilot,5,grpc-envoy-permissive,64,16609,2,16607.000,728.00,1172.00,33217,0,0,0,0,0,0.999880,0.999970,0.000000,0.980492,0.907296,1.887788,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-envoy-permissive-pilot5-v1.result.attempt1.txt
scout-64-grpc-envoy-permissive-pilot6-v1,pilot,6,grpc-envoy-permissive,64,22422,2,22420.000,1135.00,1513.00,44839,0,0,0,0,0,0.999911,0.999889,0.000000,0.981694,0.924390,1.906084,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-envoy-permissive-pilot6-v1.result.attempt1.txt
scout-64-grpc-envoy-permissive-pilot7-v1,pilot,7,grpc-envoy-permissive,64,30270,2,30274.000,1577.00,4619.00,60536,0,0,0,0,0,1.000132,0.999934,0.000000,0.981123,0.915551,1.896674,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-envoy-permissive-pilot7-v1.result.attempt1.txt
scout-64-grpc-envoy-permissive-pilot8-v1,pilot,8,grpc-envoy-permissive,64,40865,2,40847.000,3589.00,5310.00,81720,0,0,0,0,0,0.999560,0.999878,0.000000,0.981770,0.913888,1.895658,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-envoy-permissive-pilot8-v1.result.attempt1.txt
scout-64-grpc-envoy-permissive-pilot9-v1,pilot,9,grpc-envoy-permissive,64,55168,2,47958.000,192645.00,334344.00,103208,0,0,0,0,0,0.869308,0.935397,0.000000,0.982304,0.958849,1.941153,2,NA,0,0,achieved+scheduler,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-envoy-permissive-pilot9-v1.result.attempt1.txt
scout-64-grpc-envoy-permissive-validate9-v1,validate,9,grpc-envoy-permissive,64,55168,10,49506.000,547059.00,1144985.13,524000,0,0,0,9458,0,0.897368,0.949826,0.000000,0.996270,0.931059,1.927329,2,NA,0,0,overflow+achieved+scheduler,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-envoy-permissive-validate9-v1.result.attempt1.txt
scout-64-grpc-envoy-permissive-validate9-v2,validate,9,grpc-envoy-permissive,64,55168,10,49612.000,537525.00,1030820.00,520415,0,0,0,2314,0,0.899289,0.943328,0.000000,0.996497,0.929678,1.926175,2,NA,0,0,overflow+achieved+scheduler,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-envoy-permissive-validate9-v2.result.attempt1.txt
scout-64-grpc-envoy-permissive-backtrack8-v1,backtrack,8,grpc-envoy-permissive,64,40865,10,40863.000,3273.00,4484.00,408628,0,0,0,0,0,0.999951,0.999946,0.000000,0.996236,0.892477,1.888713,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-envoy-permissive-backtrack8-v1.result.attempt1.txt
scout-64-grpc-envoy-permissive-backtrack8-v2,backtrack,8,grpc-envoy-permissive,64,40865,10,40871.000,3219.00,4367.00,408646,0,0,0,0,0,1.000147,0.999990,0.000000,0.996276,0.897192,1.893468,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-envoy-permissive-backtrack8-v2.result.attempt1.txt
scout-64-grpc-envoy-permissive-refine1-v1,refine,1,grpc-envoy-permissive,64,47481,10,47468.000,10329.00,16211.00,474772,0,0,0,0,0,0.999726,0.999920,0.000000,0.996253,0.906236,1.902489,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-envoy-permissive-refine1-v1.result.attempt1.txt
scout-64-grpc-envoy-permissive-refine1-v2,refine,1,grpc-envoy-permissive,64,47481,10,47469.000,11317.00,17648.00,474750,0,0,0,0,0,0.999747,0.999874,0.000000,0.995995,0.902942,1.898937,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-envoy-permissive-refine1-v2.result.attempt1.txt
